scenario,bus,timepoint,load_MW
climate_1,781,2035-01-01T13:00:00.000000-0800,54.7528718416272
climate_1,8041,2035-01-01T14:00:00.000000-0800,2.7639244772384743
climate_1,432,2035-01-01T16:00:00.000000-0800,8.781557475367224
climate_1,1648,2035-01-01T02:00:00.000000-0800,1.3236253999999998
climate_1,1531,2035-01-01T17:00:00.000000-0800,2.7419059993546364
climate_1,628,2035-01-01T00:00:00.000000-0800,2.575172596756344
climate_1,8744,2035-01-01T22:00:00.000000-0800,17.887804438985366
climate_1,749,2035-01-01T11:00:00.000000-0800,16.486758353085538
climate_1,1889,2035-01-01T08:00:00.000000-0800,2.032278848194222
climate_1,424,2035-01-01T22:00:00.000000-0800,21.631447644683192
climate_1,1350,2035-01-01T18:00:00.000000-0800,1.2938010314921513
climate_1,1856,2035-01-01T06:00:00.000000-0800,4.680928776510457
climate_1,557,2035-01-01T11:00:00.000000-0800,0.30088134813213796
climate_1,8502,2035-01-01T15:00:00.000000-0800,3.0442361705848207
climate_1,1536,2035-01-01T00:00:00.000000-0800,3.5786993911604603
climate_1,8783,2035-01-01T05:00:00.000000-0800,7.112183847821113
climate_1,379,2035-01-01T14:00:00.000000-0800,7.3886770229627805
climate_1,1191,2035-01-01T19:00:00.000000-0800,0.7865045141600029
climate_1,2046,2035-01-01T23:00:00.000000-0800,8.182454529622508
climate_1,42,2035-01-01T00:00:00.000000-0800,8.42690181644702
climate_1,424,2035-01-01T02:00:00.000000-0800,15.018567425449149
climate_1,771,2035-01-01T09:00:00.000000-0800,15.58446208791309
climate_1,1968,2035-01-01T00:00:00.000000-0800,3.070868607411752
climate_1,2063,2035-01-01T05:00:00.000000-0800,26.280874957892344
climate_1,1222,2035-01-01T08:00:00.000000-0800,7.952001500762585
climate_1,927,2035-01-01T23:00:00.000000-0800,16.54261142884187
climate_1,1702,2035-01-01T06:00:00.000000-0800,1.129056648449657
climate_1,264,2035-01-01T07:00:00.000000-0800,0.0079776864
climate_1,8712,2035-01-01T20:00:00.000000-0800,1.5854795582213657
climate_1,1486,2035-01-01T05:00:00.000000-0800,24.03534384179697
climate_1,941,2035-01-01T11:00:00.000000-0800,17.99470205272913
climate_1,716,2035-01-01T16:00:00.000000-0800,15.157175941520096
climate_1,1829,2035-01-01T00:00:00.000000-0800,13.816511337369601
climate_1,367,2035-01-01T18:00:00.000000-0800,26.34740907187106
climate_1,1127,2035-01-01T16:00:00.000000-0800,101.53607047794797
climate_1,308,2035-01-01T01:00:00.000000-0800,3.421674119713684
climate_1,2122,2035-01-01T08:00:00.000000-0800,25.904015802323947
climate_1,68,2035-01-01T13:00:00.000000-0800,0.7963077
climate_1,672,2035-01-01T09:00:00.000000-0800,1.5186192111094885
climate_1,2104,2035-01-01T03:00:00.000000-0800,4.691738159424304
climate_1,1870,2035-01-01T05:00:00.000000-0800,4.2813979053769495
climate_1,1747,2035-01-01T00:00:00.000000-0800,1.7101089
climate_1,708,2035-01-01T13:00:00.000000-0800,25.454588015107642
climate_1,2121,2035-01-01T09:00:00.000000-0800,17.85476285239721
climate_1,1077,2035-01-01T19:00:00.000000-0800,38.73732676240279
climate_1,2213,2035-01-01T16:00:00.000000-0800,6.951047096915971
