name,bus,technology,duration_hr,efficiency_charge,efficiency_discharge,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_energy_MWh,cap_existing_power_MW,cap_max_power_MW,cost_fixed_energy_USDperkWh,cost_fixed_power_USDperkW,cost_variable_USDperMWh
simple_1,1,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_2,2,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_3,3,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_4,4,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_5,5,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_6,6,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_7,7,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_8,8,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_9,9,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_10,10,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_11,11,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_12,12,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_13,13,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_14,14,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_15,15,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_16,16,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_17,17,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_18,18,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_19,19,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_20,20,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_21,21,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_22,22,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_23,23,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_24,24,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_25,25,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_26,26,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_27,27,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_28,28,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_29,29,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_30,30,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_31,31,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_32,32,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_33,33,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_34,34,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_35,35,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_36,36,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_37,37,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_38,38,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_39,39,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_40,40,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_41,41,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_42,42,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_43,43,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_44,44,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_45,45,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_46,46,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_47,47,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_48,48,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_49,49,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_50,50,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_51,51,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_52,52,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_53,53,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_54,54,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_55,55,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_56,56,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_57,57,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_58,58,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_59,59,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_60,60,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_61,61,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_62,62,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_63,63,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_64,64,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_65,65,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_66,66,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_67,67,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_68,68,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_69,69,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_70,70,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_71,71,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_72,72,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_73,73,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_74,74,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_75,75,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_76,76,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_77,77,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_78,78,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
simple_79,79,batteries,0,0.92,0.92,0,0,0,0,0,200,87.60672607,91.54813358,0
