storage,scenario,timepoint,Discharge_MW,Charge_MW
cats_1,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T13:00:00.000000-0800,0.0,4.776295632668231e-13
cats_1,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T13:00:00.000000-0800,0.0,-3.634628481147643e-13
cats_2,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T07:00:00.000000-0800,33.964400411647105,0.0
cats_3,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T13:00:00.000000-0800,0.0,40.128072319998736
cats_3,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T13:00:00.000000-0800,0.0,-1.4010670852625343e-13
cats_4,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T06:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T07:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T08:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T10:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T12:00:00.000000-0800,2.264640000000018,0.0
cats_5,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T15:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T06:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T07:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T08:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T10:00:00.000000-0800,4.2,0.0
cats_6,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T12:00:00.000000-0800,2.2646400000000195,0.0
cats_6,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0
