storage,scenario,timepoint,Discharge_MW,Charge_MW
cats_1,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T08:00:00.000000-0800,-1.0192854516026491e-18,0.0
cats_1,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T11:00:00.000000-0800,0.0,8.739444540347511e-14
cats_1,sc1,2035-01-01T12:00:00.000000-0800,0.0,6.462348535570529e-27
cats_1,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_1,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T10:00:00.000000-0800,0.0,43.93801887301631
cats_2,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T12:00:00.000000-0800,0.0,17.851952738514235
cats_2,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T17:00:00.000000-0800,52.29903197199944,0.0
cats_2,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_2,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T06:00:00.000000-0800,52.43296243026079,0.0
cats_3,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T08:00:00.000000-0800,4.569769077663776,0.0
cats_3,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T11:00:00.000000-0800,0.0,43.019932794014636
cats_3,sc1,2035-01-01T12:00:00.000000-0800,0.0,24.32733978150979
cats_3,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_3,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T00:00:00.000000-0800,33.785792705920784,0.0
cats_4,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T06:00:00.000000-0800,0.17860770573866272,0.0
cats_4,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T10:00:00.000000-0800,0.0,-5.749915873428735e-16
cats_4,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T13:00:00.000000-0800,0.0,40.12807232001353
cats_4,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0
cats_4,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T01:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T02:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T03:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T04:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T05:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T06:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T07:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T08:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T09:00:00.000000-0800,0.0,4.2
cats_5,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T11:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T12:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T13:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0
cats_5,sc1,2035-01-01T18:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T19:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T20:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T21:00:00.000000-0800,2.5939200000000486,0.0
cats_5,sc1,2035-01-01T22:00:00.000000-0800,4.2,0.0
cats_5,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T01:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T02:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T03:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T04:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T05:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T06:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T07:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T08:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T09:00:00.000000-0800,0.0,4.2
cats_6,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0
cats_6,sc1,2035-01-01T11:00:00.000000-0800,4.2,0.0
cats_6,sc1,2035-01-01T12:00:00.000000-0800,4.2,0.0
