name,bus_type
1,PQ
2,PQ
3,PQ
4,PQ
5,PQ
6,PV
7,PQ
8,PQ
9,PQ
10,PQ
11,PQ
12,PQ
13,PQ
14,PQ
15,PQ
16,PV
17,PV
18,PQ
19,PV
20,PQ
21,PQ
22,PQ
23,PQ
24,PQ
25,PQ
26,PQ
27,PQ
28,PV
29,PQ
30,PQ
31,PQ
32,PV
33,PQ
34,PQ
35,PQ
36,PQ
37,PQ
38,PQ
39,PQ
40,PQ
41,PQ
42,PQ
43,PV
44,PQ
45,PQ
46,PV
47,PQ
48,PQ
49,PV
50,PQ
51,PV
52,PQ
53,PQ
54,PQ
55,PQ
56,PQ
57,PQ
58,PQ
59,PQ
60,PV
61,PQ
62,PQ
63,PQ
64,PQ
65,PQ
66,PQ
67,PQ
68,PV
69,PQ
70,PQ
71,PV
72,PQ
73,PQ
74,PQ
75,PQ
76,PV
77,PQ
78,PQ
79,PQ
80,PQ
81,PQ
82,PQ
83,PQ
84,PQ
85,PQ
86,PQ
87,PQ
88,PQ
89,PQ
90,PV
91,PQ
92,PQ
93,PQ
94,PQ
95,PQ
96,PQ
97,PQ
98,PQ
99,PQ
100,PQ
101,PQ
102,PQ
103,PV
104,PQ
105,PV
106,PV
107,PQ
108,PV
109,PQ
110,PQ
111,PV
112,PV
113,PV
114,PQ
115,PQ
116,PV
117,PQ
118,PQ
119,PQ
120,PQ
121,PV
122,PQ
123,PQ
124,PQ
125,PV
126,PQ
127,PQ
128,PQ
129,PQ
130,PQ
131,PV
132,PQ
133,PQ
134,PQ
135,PQ
136,PQ
137,PV
138,PV
139,PQ
140,PQ
141,PQ
142,PQ
143,PQ
144,PQ
145,PV
146,PQ
147,PQ
148,PQ
149,PV
150,PQ
151,PQ
152,PQ
153,PQ
154,PQ
155,PV
156,PQ
157,PQ
158,PV
159,PV
160,PQ
161,PQ
162,PQ
163,PQ
164,PV
165,PV
166,PV
167,PQ
168,PQ
169,PQ
170,PV
171,PQ
172,PQ
173,PQ
174,PQ
175,PV
176,PQ
177,PQ
178,PQ
179,PQ
180,PQ
181,PV
182,PV
183,PQ
184,PQ
185,PQ
186,PQ
187,PQ
188,PQ
189,PQ
190,PQ
191,PQ
192,PV
193,PQ
194,PV
195,PV
196,PQ
197,PQ
198,PV
199,PQ
200,PV
201,PQ
202,PQ
203,PQ
204,PV
205,PQ
206,PV
207,PV
208,PQ
209,PV
210,PQ
211,PQ
212,PQ
213,PQ
214,PQ
215,PQ
216,PQ
217,PQ
218,PQ
219,PV
220,PV
221,PQ
222,PQ
223,PQ
224,PQ
225,PQ
226,PV
227,PV
228,PQ
229,PV
230,PQ
231,PQ
232,PQ
233,PV
234,PQ
235,PV
236,PV
237,PQ
238,PQ
239,PV
240,PV
241,PV
242,PQ
243,PV
244,PQ
245,PV
246,PQ
247,PQ
248,PV
249,PQ
250,PQ
251,PQ
252,PQ
253,PV
254,PQ
255,PQ
256,PQ
257,PQ
258,PV
259,PV
260,PQ
261,PQ
262,PV
263,PQ
264,PQ
265,PQ
266,PQ
267,PQ
268,PV
269,PV
270,PV
271,PQ
272,PQ
273,PQ
274,PV
275,PQ
276,PV
277,PQ
278,PQ
279,PQ
280,PQ
281,PQ
282,PV
283,PQ
284,PV
285,PV
286,PV
287,PQ
288,PV
289,PV
290,PQ
291,PQ
292,PQ
293,PQ
294,PQ
295,PV
296,PQ
297,PQ
298,PQ
299,PQ
300,PV
301,PQ
302,PV
303,PV
304,PV
305,PQ
306,PQ
307,PQ
308,PV
309,PV
310,PQ
311,PQ
312,PQ
313,PQ
314,PQ
315,PQ
316,PQ
317,PV
318,PV
319,PV
320,PQ
321,PQ
322,PV
323,PQ
324,PQ
325,PQ
326,PV
327,PQ
328,PQ
329,PQ
330,PQ
331,PQ
332,PQ
333,PV
334,PQ
335,PQ
336,PQ
337,PQ
338,PQ
339,PV
340,PQ
341,PV
342,PV
343,PQ
344,PV
