timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu1,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu2,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu3,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu4,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu5,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu6,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu7,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu8,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu9,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu10,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu11,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu12,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu13,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu14,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu15,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu16,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu17,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu18,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu19,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu20,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu21,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu22,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu23,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu24,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu25,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu26,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu27,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu28,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu29,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu30,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu31,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu32,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu33,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu34,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu35,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu36,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu37,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu38,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu39,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu40,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu41,0,solar photovoltaic,sc1
