generator,Capacity_MW
cec23_779,0.0
cec23_780,0.0
cec23_781,0.0
cec23_782,0.0
cec23_783,0.0
cec23_784,0.0
cec23_785,0.0
cec23_786,0.0
cec23_787,0.0
cec23_788,0.0
cec23_789,0.0
cec23_790,0.0
cec23_791,0.0
cec23_792,0.0
cec23_793,0.0
cec23_794,0.0
cec23_795,0.0
cec23_796,0.0
cec23_797,0.0
cec23_798,0.0
cec23_799,0.0
cec23_800,0.0
cec23_801,0.0
cec23_802,0.0
cec23_803,0.0
cec23_804,0.0
cec23_805,0.0
cec23_806,0.0
cec23_807,0.0
cec23_808,0.0
cec23_809,0.0
cec23_810,0.0
cec23_811,0.0
cec23_812,0.0
cec23_813,0.0
cec23_814,0.0
cec23_815,0.0
cec23_816,0.0
cec23_817,0.0
cec23_818,0.0
cec23_819,0.0
cec23_820,0.0
cec23_821,0.0
cec23_822,0.0
cec23_823,0.0
cec23_824,0.0
cec23_825,0.0
cec23_826,0.0
cec23_827,0.0
cec23_828,0.0
cec23_829,0.0
cec23_830,0.0
cec23_831,0.0
cec23_832,0.0
cec23_833,0.0
cec23_834,0.0
cec23_835,0.0
cec23_836,0.0
cec23_837,0.0
cec23_838,0.0
cec23_839,0.0
cec23_840,0.0
cec23_841,0.0
cec23_842,0.0
cec23_843,0.0
cec23_844,0.0
cec23_845,0.0
cec23_846,0.0
cec23_847,0.0
cec23_848,0.0
cec23_849,0.0
cec23_850,0.0
cec23_851,0.0
cec23_852,0.0
cec23_853,0.0
cec23_854,0.0
cec23_855,0.0
cec23_856,0.0
cec23_857,0.0
cec23_858,0.0
cec23_859,0.0
cec23_860,0.0
cec23_861,0.0
cec23_862,0.0
cec23_863,0.0
cec23_864,0.0
cec23_865,0.0
cec23_866,0.0
cec23_867,0.0
cec23_868,0.0
cec23_869,0.0
cec23_870,0.0
cec23_871,0.0
cec23_872,0.0
cec23_873,0.0
cec23_874,0.0
cec23_875,0.0
cec23_876,0.0
cec23_877,0.0
cec23_878,0.0
cec23_879,0.0
cec23_880,0.0
cec23_881,0.0
cec23_882,0.0
cec23_883,0.0
cec23_884,0.0
cec23_885,0.0
cec23_886,0.0
cec23_887,0.0
cec23_888,0.0
cec23_889,0.0
cec23_890,0.0
cec23_891,0.0
cec23_892,0.0
cec23_893,0.0
cec23_894,0.0
cec23_895,0.0
cec23_896,0.0
cec23_897,0.0
cec23_898,0.0
cec23_899,0.0
cec23_900,0.0
cec23_901,0.0
cec23_902,0.0
cec23_903,0.0
cec23_904,0.0
cec23_905,0.0
cec23_906,0.0
cec23_907,0.0
cec23_908,0.0
cec23_909,0.0
cec23_910,0.0
cec23_911,0.0
cec23_912,0.0
cec23_913,0.0
cec23_914,0.0
cec23_915,0.0
cec23_916,0.0
cec23_917,0.0
cec23_918,0.0
cec23_919,0.0
cec23_920,0.0
cec23_921,0.0
cec23_922,0.0
cec23_923,0.0
cec23_924,0.0
cec23_925,0.0
cec23_926,0.0
cec23_927,0.0
cec23_928,0.0
cec23_929,0.0
cec23_930,0.0
cec23_931,0.0
cec23_932,0.0
cec23_933,0.0
cec23_934,0.0
cec23_935,0.0
cec23_936,0.0
cec23_937,0.0
cec23_938,0.0
cec23_939,0.0
cec23_940,0.0
cec23_941,0.0
cec23_942,0.0
cec23_943,0.0
cec23_944,0.0
cec23_945,0.0
cec23_946,0.0
cec23_947,0.0
cec23_948,0.0
cec23_949,0.0
cec23_950,0.0
cec23_951,0.0
cec23_952,0.0
cec23_953,0.0
cec23_954,0.0
cec23_955,0.0
cec23_956,0.0
cec23_957,0.0
cec23_958,0.0
cec23_959,0.0
cec23_960,0.0
cec23_961,0.0
cec23_962,0.0
cec23_963,0.0
cec23_964,0.0
cec23_965,0.0
cec23_966,0.0
cec23_967,0.0
cec23_968,0.0
cec23_969,0.0
cec23_970,0.0
cec23_971,0.0
cec23_972,0.0
cec23_973,0.0
cec23_974,0.0
cec23_975,0.0
cec23_976,0.0
cec23_977,0.0
cec23_978,0.0
cec23_979,0.0
cec23_980,0.0
cec23_981,0.0
cec23_982,0.0
cec23_983,0.0
cec23_984,0.0
cec23_985,0.0
cec23_986,0.0
