storage,scenario,Power_Capacity_MW,Energy_Capacity_MWh
cats_1,sc1,271.0,6504.0
cats_2,sc1,271.0,6504.0
cats_3,sc1,271.0,6504.0
cats_4,sc1,271.0,6504.0
cats_5,sc1,4.2,100.8
cats_6,sc1,4.2,100.8
cats_7,sc1,4.2,100.8
cats_8,sc1,4.2,100.8
cats_9,sc1,4.2,100.8
cats_10,sc1,4.2,100.8
cats_11,sc1,53.0,1272.0
cats_12,sc1,53.0,1272.0
cats_13,sc1,53.0,1272.0
cats_14,sc1,53.0,1272.0
cats_15,sc1,53.0,1272.0
cats_16,sc1,53.0,1272.0
cats_17,sc1,53.0,1272.0
cats_18,sc1,53.0,1272.0
cats_19,sc1,351.0,8424.0
cats_20,sc1,351.0,8424.0
cats_21,sc1,21.0,504.0
cats_22,sc1,21.0,504.0
cats_23,sc1,300.0,1200.0
cats_24,sc1,100.0,400.0
cats_25,sc1,30.0,20.00000001
cats_26,sc1,1.0,6.8
cats_27,sc1,20.0,20.0
cats_28,sc1,0.3,0.5
cats_29,sc1,10.0,10.0
cats_30,sc1,10.0,10.0
cats_31,sc1,2.5,5.0
cats_32,sc1,230.0,920.0
cats_33,sc1,0.5,1.0
cats_34,sc1,75.0,75.0
cats_35,sc1,37.0,128.0
cats_36,sc1,35.0,160.0
cats_37,sc1,115.0,538.6000000150001
cats_38,sc1,63.0,301.20000000299996
cats_39,sc1,115.0,538.6000000150001
cats_40,sc1,2.0,2.0
cats_41,sc1,45.0,176.0
cats_42,sc1,43.0,176.00000000800003
cats_43,sc1,1.0,2.0
cats_44,sc1,1.5,1.5
cats_45,sc1,0.5,1.5
cats_46,sc1,1.0,3.0
cats_47,sc1,1.0,3.0
cats_48,sc1,1.0,3.0
cats_49,sc1,7.5,30.0
cats_50,sc1,30.0,120.0
cats_51,sc1,10.0,40.0
cats_52,sc1,10.0,40.0
cats_53,sc1,10.0,40.0
cats_54,sc1,10.0,4.5
cats_55,sc1,10.0,4.5
cats_56,sc1,2.4,9.6
cats_57,sc1,2.0,8.0
cats_58,sc1,2.0,1.0
cats_59,sc1,2.0,8.0
cats_60,sc1,100.0,400.0
cats_61,sc1,30.0,120.0
cats_62,sc1,20.0,10.0
cats_63,sc1,40.0,38.0
cats_64,sc1,1.0,6.9
cats_65,sc1,1.0,6.5
cats_66,sc1,4.5,27.0
cats_67,sc1,2.5,15.0
cats_68,sc1,3.3,19.8
cats_69,sc1,1.0,2.0
cats_70,sc1,0.5,0.5
cats_71,sc1,0.5,0.9
cats_72,sc1,200.0,800.0
cats_73,sc1,1.0,1.0
cats_74,sc1,1.4,3.7000000001999998
cats_75,sc1,9.0,36.0
cats_76,sc1,6.0,24.0
cats_77,sc1,182.5,730.0
cats_78,sc1,2.0,4.0
cats_79,sc1,10.0,10.0
cats_80,sc1,2.0,6.0
cats_81,sc1,3.0,12.0
cats_82,sc1,10.0,40.0
cats_83,sc1,10.0,40.0
cats_84,sc1,1.0,4.0
cats_85,sc1,0.4,0.4
cats_86,sc1,0.2,0.2
cats_87,sc1,0.3,0.3
cats_88,sc1,0.5,0.8
cats_89,sc1,0.5,0.5
cats_90,sc1,1.5,9.0
cats_91,sc1,1.2,6.3
cats_92,sc1,2.5,15.0
cats_93,sc1,1.0,6.0
cats_94,sc1,2.0,13.0
cats_95,sc1,1.0,5.0
cats_96,sc1,1.5,8.6
cats_97,sc1,4.9,32.6
cats_98,sc1,1.3,7.2
cats_99,sc1,100.0,400.0
cats_100,sc1,33.8,135.0
cats_101,sc1,50.0,200.0
cats_102,sc1,10.0,40.0
cats_103,sc1,46.5,186.0
cats_104,sc1,11.0,44.0
cats_105,sc1,250.0,700.0
cats_106,sc1,20.0,20.0
cats_107,sc1,100.0,400.0
cats_108,sc1,60.0,242.0
cats_109,sc1,60.0,240.0
cats_110,sc1,35.0,140.0
cats_111,sc1,50.0,200.0
cats_112,sc1,132.0,528.0
cats_113,sc1,110.0,440.0
cats_114,sc1,0.4,1.0
cats_115,sc1,8.3,3.4
cats_116,sc1,10.0,40.0
cats_117,sc1,10.0,40.0
cats_118,sc1,50.0,50.0
cats_119,sc1,20.0,50.0
cats_120,sc1,125.0,250.0
cats_121,sc1,100.0,200.0
cats_122,sc1,100.0,400.0
cats_123,sc1,2.5,2.5
cats_124,sc1,2.5,2.5
cats_125,sc1,2.2,8.8
cats_126,sc1,11.0,31.500000004
cats_127,sc1,144.0,272.000000016
cats_128,sc1,120.0,250.0
cats_129,sc1,20.0,80.0
cats_130,sc1,33.0,70.0
cats_131,sc1,40.0,83.5
cats_132,sc1,40.0,88.0
cats_133,sc1,112.0,448.0
cats_134,sc1,1.0,2.2
cats_135,sc1,200.0,800.0
cats_136,sc1,150.0,600.0
cats_137,sc1,1.0,2.0
cats_138,sc1,0.7,3.0000000002
cats_139,sc1,0.5,0.9
cats_140,sc1,0.8,3.1
cats_141,sc1,0.6,1.1
cats_142,sc1,1.1,2.1
cats_143,sc1,0.9,2.1
cats_144,sc1,2.1,4.0000000005
cats_145,sc1,230.0,920.0
cats_146,sc1,127.0,508.0
cats_147,sc1,85.0,212.0
cats_148,sc1,54.0,216.0
cats_149,sc1,0.7,1.3
