name,technology,bus,site,c2_USDperMWh2,c1_USDperMWh,c0_USD,cost_fixed_power_USDperkW,cap_existing_power_MW,cap_max_power_MW,cost_variable_USDperMWh
1,cats,745,capacity_factor_one,0.059172355,14.8788144,46.4995731,0,12.1,12.1,0
2,cats,1804,capacity_factor_one,0.082991653,44.9151794,1427.41303,0,71.2,71.2,0
3,cats,1804,capacity_factor_one,0.082991653,44.9151794,1427.41303,0,71.2,71.2,0
4,cats,1964,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1.1,1.1,0
5,cats,1964,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1.1,1.1,0
6,cats,1964,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1.1,1.1,0
7,cats,1360,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,0.5,0.5,0
8,cats,1360,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,0.5,0.5,0
9,cats,1745,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1,1,0
10,cats,744,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1,1,0
11,cats,1587,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,1.4,1.4,0
12,cats,8022,capacity_factor_one,0.019693715,14.8788144,138.645776,0,117.9,117.9,0
13,cats,2220,capacity_factor_one,0.073985797,14.8788144,36.8238805,0,33,33,0
14,cats,2220,capacity_factor_one,0.073985797,14.8788144,36.8238805,0,33,33,0
15,cats,1748,capacity_factor_one,0.061429747,14.8788144,44.2781598,0,40,40,0
16,cats,8542,capacity_factor_one,0.102178348,14.8788144,26.4292728,0,23.8,23.8,0
17,cats,8542,capacity_factor_one,0.101288764,14.8788144,27.9399979,0,25,25,0
18,cats,8542,capacity_factor_one,0.101288764,14.8788144,27.9399979,0,25,25,0
19,cats,8542,capacity_factor_one,0.04009894,14.8788144,68.1855659,0,60.3,60.3,0
20,cats,8542,capacity_factor_one,0.042766954,14.8788144,64.0300345,0,57.6,57.6,0
21,cats,1743,capacity_factor_one,0.059172355,14.8788144,46.4995731,0,12.1,12.1,0
22,cats,1735,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,0.7,0.7,0
23,cats,1735,capacity_factor_one,0.078724432,14.8788144,34.6467874,0,0.7,0.7,0
24,cats,8578,capacity_factor_one,0.049901925,14.8788144,55.0498039,0,12,12,0
25,cats,8578,capacity_factor_one,0.049901925,14.8788144,55.0498039,0,12,12,0
26,cats,8578,capacity_factor_one,0.049901925,14.8788144,55.0498039,0,12,12,0
27,cats,8578,capacity_factor_one,0.049901925,14.8788144,55.0498039,0,13.2,13.2,0
28,cats,744,capacity_factor_one,0.111,14.8788144,24.5526988,0,22,22,0
29,cats,106,capacity_factor_one,0.120339515,14.8788144,22.3377955,0,10,10,0
30,cats,106,capacity_factor_one,0.120339515,14.8788144,22.3377955,0,10,10,0
31,cats,7778,capacity_factor_one,0.075886016,14.8788144,36.1349397,0,32.3,32.3,0
32,cats,7778,capacity_factor_one,0.0694,14.8788144,39.3959214,0,35.1,35.1,0
33,cats,7778,capacity_factor_one,0.0694,14.8788144,39.3959214,0,35.1,35.1,0
34,cats,1634,capacity_factor_one,0.036962208,14.8788144,75.8585367,0,67.5,67.5,0
35,cats,1634,capacity_factor_one,0.036962208,14.8788144,75.8585367,0,67.5,67.5,0
36,cats,749,capacity_factor_one,0.059172355,14.8788144,46.4995731,0,13.6,13.6,0
37,cats,339,capacity_factor_one,0.085772205,14.8788144,32.0494007,0,2.6,2.6,0
38,cats,339,capacity_factor_one,0.085772205,14.8788144,32.0494007,0,2.7,2.7,0
39,cats,1286,capacity_factor_one,0.074347899,14.8788144,36.540858,0,10,10,0
40,cats,8427,capacity_factor_one,0.074347899,14.8788144,36.540858,0,10,10,0
41,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
42,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
43,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
44,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
45,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
46,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
47,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
48,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
49,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
50,cats,170,capacity_factor_one,0.018728377,6.603145,74.6992503,0,16.7,16.7,0
51,cats,1746,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,7.6,7.6,0
52,cats,1728,capacity_factor_one,0.028656809,14.8788144,93.6100229,0,85.1,85.1,0
53,cats,1728,capacity_factor_one,0.028941569,14.8788144,92.6227225,0,83.5,83.5,0
54,cats,1643,capacity_factor_one,0.0723,14.8788144,37.8334767,0,11.3,11.3,0
55,cats,1643,capacity_factor_one,0.0723,14.8788144,37.8334767,0,11.3,11.3,0
56,cats,1734,capacity_factor_one,0.085772205,14.8788144,32.0494007,0,1.5,1.5,0
57,cats,615,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,3.4,3.4,0
58,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
59,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
60,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
61,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
62,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
63,cats,7971,capacity_factor_one,0.022715841,13.4742144,878.874372,0,233,233,0
64,cats,60,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,3.6,3.6,0
65,cats,1448,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,1.6,1.6,0
66,cats,8553,capacity_factor_one,0.071284546,14.8788144,38.3182174,0,34.6,34.6,0
67,cats,8553,capacity_factor_one,0.071284546,14.8788144,38.3182174,0,34.6,34.6,0
68,cats,1727,capacity_factor_one,0.046889973,14.8788144,58.4255407,0,51.7,51.7,0
69,cats,1727,capacity_factor_one,0.046889973,14.8788144,58.4255407,0,51.7,51.7,0
70,cats,1730,capacity_factor_one,0.064820939,14.8788144,42.9634433,0,38.2,38.2,0
71,cats,1730,capacity_factor_one,0.064820939,14.8788144,42.9634433,0,38.2,38.2,0
72,cats,1730,capacity_factor_one,0.072573362,14.8788144,37.387899,0,33.2,33.2,0
73,cats,1730,capacity_factor_one,0.077414674,14.8788144,35.1771382,0,32,32,0
74,cats,1729,capacity_factor_one,0.061662881,14.8788144,44.2065545,0,39.6,39.6,0
75,cats,1729,capacity_factor_one,0.061662881,14.8788144,44.2065545,0,39.6,39.6,0
76,cats,1501,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,4.4,4.4,0
77,cats,1501,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,2,2,0
78,cats,1501,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,3,3,0
79,cats,2220,capacity_factor_one,0.038074342,14.8788144,70.2258381,0,63,63,0
80,cats,2220,capacity_factor_one,0.038074342,14.8788144,70.2258381,0,63,63,0
81,cats,32,capacity_factor_one,0.059172355,14.8788144,46.4995731,0,12.3,12.3,0
82,cats,32,capacity_factor_one,0.086915976,14.8788144,31.8308439,0,29.7,29.7,0
83,cats,1745,capacity_factor_one,0.104841048,14.8788144,26.2074855,0,6.7,6.7,0
