generator,scenario,Capacity_MW
1,sc1,12.1
2,sc1,71.2
3,sc1,71.2
4,sc1,1.1
5,sc1,1.1
6,sc1,1.1
7,sc1,0.5
8,sc1,0.5
9,sc1,1.0
10,sc1,1.0
11,sc1,1.4
12,sc1,117.9
13,sc1,33.0
14,sc1,33.0
15,sc1,40.0
16,sc1,23.8
17,sc1,25.0
18,sc1,25.0
19,sc1,60.3
20,sc1,57.6
21,sc1,12.1
22,sc1,0.7
23,sc1,0.7
24,sc1,12.0
25,sc1,12.0
26,sc1,12.0
27,sc1,13.2
28,sc1,22.0
29,sc1,10.0
30,sc1,10.0
31,sc1,32.3
32,sc1,35.1
33,sc1,35.1
34,sc1,67.5
35,sc1,67.5
36,sc1,13.6
37,sc1,2.6
38,sc1,2.7
39,sc1,10.0
40,sc1,10.0
41,sc1,16.7
42,sc1,16.7
43,sc1,16.7
44,sc1,16.7
45,sc1,16.7
46,sc1,16.7
47,sc1,16.7
48,sc1,16.7
49,sc1,16.7
50,sc1,16.7
51,sc1,7.6
52,sc1,85.1
53,sc1,83.5
54,sc1,11.3
55,sc1,11.3
56,sc1,1.5
57,sc1,3.4
58,sc1,233.0
59,sc1,233.0
60,sc1,233.0
61,sc1,233.0
62,sc1,233.0
63,sc1,233.0
64,sc1,3.6
65,sc1,1.6
66,sc1,34.6
67,sc1,34.6
68,sc1,51.7
69,sc1,51.7
70,sc1,38.2
71,sc1,38.2
72,sc1,33.2
73,sc1,32.0
74,sc1,39.6
75,sc1,39.6
76,sc1,4.4
77,sc1,2.0
78,sc1,3.0
79,sc1,63.0
80,sc1,63.0
81,sc1,12.3
82,sc1,29.7
83,sc1,6.7
84,sc1,7.0
85,sc1,3.7
86,sc1,6.6
87,sc1,6.0
88,sc1,81.9
89,sc1,25.5
90,sc1,26.7
91,sc1,4.2
92,sc1,4.2
93,sc1,8.5
94,sc1,13.6
95,sc1,13.6
96,sc1,2.8
97,sc1,10.0
98,sc1,10.0
99,sc1,13.5
100,sc1,13.5
101,sc1,0.5
102,sc1,0.4
103,sc1,1.2
104,sc1,18.0
105,sc1,2.0
106,sc1,2.0
107,sc1,310.0
108,sc1,310.0
109,sc1,495.0
110,sc1,15.8
111,sc1,15.8
112,sc1,17.5
113,sc1,17.5
114,sc1,34.0
115,sc1,34.0
116,sc1,34.0
117,sc1,36.0
118,sc1,36.5
119,sc1,30.0
120,sc1,45.0
121,sc1,55.0
122,sc1,55.0
123,sc1,2.5
124,sc1,2.5
125,sc1,2.3
126,sc1,2.8
127,sc1,2.8
128,sc1,2.8
129,sc1,1.0
130,sc1,1.0
131,sc1,2.0
132,sc1,2.2
133,sc1,2.0
134,sc1,2.0
135,sc1,2.5
136,sc1,1.6
137,sc1,3.0
138,sc1,3.0
139,sc1,6.0
140,sc1,1.5
141,sc1,1.5
142,sc1,218.0
143,sc1,2.3
144,sc1,20.5
145,sc1,19.8
146,sc1,6.6
147,sc1,6.6
148,sc1,6.6
149,sc1,6.6
150,sc1,63.0
151,sc1,63.0
152,sc1,63.0
153,sc1,63.0
154,sc1,95.0
155,sc1,95.0
156,sc1,806.0
157,sc1,806.0
158,sc1,11.3
159,sc1,163.2
160,sc1,163.2
161,sc1,495.0
162,sc1,5.9
163,sc1,7.2
164,sc1,164.6
165,sc1,164.6
166,sc1,189.2
167,sc1,164.6
168,sc1,164.6
169,sc1,189.2
170,sc1,0.8
171,sc1,0.8
172,sc1,0.8
173,sc1,0.8
174,sc1,1.3
175,sc1,1.3
176,sc1,7.5
177,sc1,7.5
178,sc1,8.6
179,sc1,20.0
180,sc1,20.0
181,sc1,23.0
182,sc1,50.0
183,sc1,50.0
184,sc1,25.4
185,sc1,55.1
186,sc1,57.4
187,sc1,78.4
188,sc1,78.4
189,sc1,39.5
190,sc1,39.5
191,sc1,36.5
192,sc1,5.0
193,sc1,5.0
194,sc1,4.8
195,sc1,4.4
196,sc1,10.0
197,sc1,9.6
198,sc1,16.5
199,sc1,16.5
200,sc1,34.5
201,sc1,89.9
202,sc1,65.9
203,sc1,43.2
204,sc1,43.2
205,sc1,81.6
206,sc1,30.0
207,sc1,3.2
208,sc1,10.1
209,sc1,2.0
210,sc1,2.8
211,sc1,2.8
212,sc1,85.3
213,sc1,85.3
214,sc1,75.0
215,sc1,60.5
