generator,scenario,timepoint,Dispatch_MW
1,sc1,1,12.099999999708265
2,sc1,1,9.4066053121184e-12
3,sc1,1,9.4066053121184e-12
4,sc1,1,1.0999999998783083
5,sc1,1,1.0999999998783083
6,sc1,1,1.0999999998783083
7,sc1,1,0.49999999988347155
8,sc1,1,0.49999999988347155
9,sc1,1,0.999999999749392
10,sc1,1,0.9999999998793819
11,sc1,1,1.3999999998762163
12,sc1,1,59.07180487808537
13,sc1,1,15.72387318884549
14,sc1,1,15.72387318884549
15,sc1,1,18.937784161904126
16,sc1,1,11.385418854167577
17,sc1,1,11.48541302969845
18,sc1,1,11.48541302969845
19,sc1,1,29.011821504665058
20,sc1,1,27.20192066534479
21,sc1,1,10.121449360767263
22,sc1,1,0.6999999998827658
23,sc1,1,0.6999999998827658
24,sc1,1,11.999999999766276
25,sc1,1,11.999999999766276
26,sc1,1,11.999999999766276
27,sc1,1,13.199999999738163
28,sc1,1,10.445898346619238
29,sc1,1,9.70512034523597
30,sc1,1,9.70512034523597
31,sc1,1,15.340597525689782
32,sc1,1,16.77430589746257
33,sc1,1,16.77430589746257
34,sc1,1,31.417444246594137
35,sc1,1,31.417444246594137
36,sc1,1,13.599999999637241
37,sc1,1,2.5999999998613683
38,sc1,1,2.6999999998600925
39,sc1,1,9.99999999969217
40,sc1,1,9.999999999692195
41,sc1,1,16.699999999973887
42,sc1,1,16.699999999973887
43,sc1,1,16.699999999973887
44,sc1,1,16.699999999973887
45,sc1,1,16.699999999973887
46,sc1,1,16.699999999973887
47,sc1,1,16.699999999973887
48,sc1,1,16.699999999973887
49,sc1,1,16.699999999973887
50,sc1,1,16.699999999973887
51,sc1,1,5.71255253660554
52,sc1,1,40.71274486865838
53,sc1,1,40.312166682007565
54,sc1,1,11.29999999961314
55,sc1,1,11.29999999961314
56,sc1,1,1.499999999874417
57,sc1,1,3.3999999998367296
58,sc1,1,82.17463747448888
59,sc1,1,82.17463747448888
60,sc1,1,82.17463747448888
61,sc1,1,82.17463747448888
62,sc1,1,82.17463747448888
63,sc1,1,82.17463747448888
64,sc1,1,3.599999999834129
65,sc1,1,1.5999999998690653
66,sc1,1,16.37104863673166
67,sc1,1,16.37104863673166
68,sc1,1,24.881595763914873
69,sc1,1,24.881595763914873
70,sc1,1,17.998772797278598
