name,bus_type,base_voltage_kV,base_power_MVA
1,PQ,115.0,100.0
2,PQ,66.0,100.0
3,PQ,66.0,100.0
4,PQ,230.0,100.0
5,PQ,115.0,100.0
6,PV,66.0,100.0
7,PQ,115.0,100.0
8,PQ,115.0,100.0
9,PQ,115.0,100.0
10,PQ,115.0,100.0
11,PQ,115.0,100.0
12,PQ,66.0,100.0
13,PQ,115.0,100.0
14,PQ,66.0,100.0
15,PQ,66.0,100.0
16,PV,66.0,100.0
17,PV,66.0,100.0
18,PQ,230.0,100.0
19,PV,115.0,100.0
20,PQ,115.0,100.0
21,PQ,115.0,100.0
22,PQ,115.0,100.0
23,PQ,66.0,100.0
24,PQ,66.0,100.0
25,PQ,66.0,100.0
26,PQ,66.0,100.0
27,PQ,66.0,100.0
28,PV,66.0,100.0
29,PQ,66.0,100.0
30,PQ,66.0,100.0
31,PQ,66.0,100.0
32,PV,115.0,100.0
33,PQ,66.0,100.0
34,PQ,115.0,100.0
35,PQ,66.0,100.0
36,PQ,66.0,100.0
37,PQ,66.0,100.0
38,PQ,66.0,100.0
39,PQ,115.0,100.0
40,PQ,66.0,100.0
41,PQ,66.0,100.0
42,PQ,115.0,100.0
43,PV,115.0,100.0
44,PQ,115.0,100.0
45,PQ,115.0,100.0
46,PV,115.0,100.0
47,PQ,66.0,100.0
48,PQ,115.0,100.0
49,PV,66.0,100.0
50,PQ,66.0,100.0
51,PV,66.0,100.0
52,PQ,115.0,100.0
53,PQ,115.0,100.0
54,PQ,115.0,100.0
55,PQ,66.0,100.0
56,PQ,115.0,100.0
57,PQ,66.0,100.0
58,PQ,115.0,100.0
59,PQ,230.0,100.0
60,PV,115.0,100.0
61,PQ,66.0,100.0
62,PQ,66.0,100.0
63,PQ,66.0,100.0
64,PQ,66.0,100.0
65,PQ,66.0,100.0
66,PQ,66.0,100.0
67,PQ,66.0,100.0
68,PV,66.0,100.0
69,PQ,115.0,100.0
70,PQ,66.0,100.0
71,PV,66.0,100.0
72,PQ,66.0,100.0
73,PQ,66.0,100.0
74,PQ,115.0,100.0
75,PQ,115.0,100.0
76,PV,66.0,100.0
77,PQ,66.0,100.0
78,PQ,66.0,100.0
79,PQ,66.0,100.0
80,PQ,115.0,100.0
81,PQ,66.0,100.0
82,PQ,115.0,100.0
83,PQ,115.0,100.0
84,PQ,66.0,100.0
85,PQ,115.0,100.0
86,PQ,115.0,100.0
87,PQ,115.0,100.0
88,PQ,66.0,100.0
89,PQ,66.0,100.0
90,PV,115.0,100.0
91,PQ,66.0,100.0
92,PQ,115.0,100.0
93,PQ,115.0,100.0
94,PQ,66.0,100.0
95,PQ,230.0,100.0
96,PQ,66.0,100.0
97,PQ,66.0,100.0
98,PQ,66.0,100.0
99,PQ,115.0,100.0
100,PQ,115.0,100.0
101,PQ,66.0,100.0
102,PQ,66.0,100.0
103,PV,115.0,100.0
104,PQ,66.0,100.0
105,PV,66.0,100.0
106,PV,115.0,100.0
107,PQ,115.0,100.0
108,PV,115.0,100.0
109,PQ,66.0,100.0
110,PQ,66.0,100.0
111,PV,500.0,100.0
112,PV,66.0,100.0
113,PV,115.0,100.0
114,PQ,66.0,100.0
115,PQ,66.0,100.0
116,PV,66.0,100.0
117,PQ,115.0,100.0
118,PQ,66.0,100.0
119,PQ,66.0,100.0
120,PQ,66.0,100.0
121,PV,115.0,100.0
122,PQ,66.0,100.0
123,PQ,66.0,100.0
124,PQ,115.0,100.0
125,PV,66.0,100.0
126,PQ,66.0,100.0
127,PQ,66.0,100.0
