name,bus,site,technology,expand_capacity,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_power_MW,cap_max_power_MW,cost_fixed_power_USDperkW,cost_variable_USDperMWh
cats_1,1793,no_capacity_factor,all other,FALSE,102.705607,15.604003,0.058760544,4,4,0,0
cats_2,2117,no_capacity_factor,all other,FALSE,102.705607,15.604003,0.058760544,8,8,0,0
cats_3,714,no_capacity_factor,all other,FALSE,554.685123,22.409643,0.094703922,1,1,0,0
cats_4,8774,no_capacity_factor,all other,FALSE,110.850758,15.5533405,0.046668863,31.9,31.9,0,0
cats_5,1005,no_capacity_factor,conventional hydroelectric,FALSE,66.7386997,14.8788144,0.041,276.2,276.2,0,0
cats_6,103,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,12.7,12.7,0,0
cats_7,1045,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.4,1.4,0,0
cats_8,1046,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,5.9,5.9,0,0
cats_9,105,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,10,10,0,0
cats_10,106,no_capacity_factor,conventional hydroelectric,FALSE,22.3377955,14.8788144,0.120339515,10,10,0,0
cats_11,125,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,37.5,37.5,0,0
cats_12,1286,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,10,10,0,0
cats_13,1292,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,4.2,4.2,0,0
cats_14,1294,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,10,10,0,0
cats_15,1296,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.6,3.6,0,0
cats_16,1299,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,5,5,0,0
cats_17,1350,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,4.4,4.4,0,0
cats_18,1360,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1,1,0,0
cats_19,1381,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,5.3,5.3,0,0
cats_20,1408,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,5,5,0,0
cats_21,1409,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,2,2,0,0
cats_22,141,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,1.3,1.3,0,0
cats_23,1425,no_capacity_factor,conventional hydroelectric,FALSE,23.3042834,14.8788144,0.116141127,20.1,20.1,0,0
cats_24,1438,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,1.8,1.8,0,0
cats_25,1446,no_capacity_factor,conventional hydroelectric,FALSE,86.1224701,14.8788144,0.031561893,156.8,156.8,0,0
cats_26,1446,no_capacity_factor,conventional hydroelectric,FALSE,43.9716516,14.8788144,0.0622,115.5,115.5,0,0
cats_27,1448,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,1.6,1.6,0,0
cats_28,1457,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.2,1.2,0,0
cats_29,1458,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1,1,0,0
cats_30,1487,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,11.5,11.5,0,0
cats_31,1489,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,41.9,41.9,0,0
