name,from_bus,to_bus,angle_max_deg,angle_min_deg,expand_capacity,b_pu,g_pu,r_pu,x_pu,cap_existing_power_MW,cost_fixed_power_USDperkW
1,1,2410,360,-360,FALSE,2.70513E-05,0,4.77325E-05,0.000218973,175,0
2,2410,20,360,-360,FALSE,0.002320551,0,0.00091416,0.007485377,437,0
3,2410,2411,360,-360,FALSE,0.002469329,0,0.003540388,0.016137801,185,0
4,2411,1618,360,-360,FALSE,7.07109E-05,0,0.000155719,0.000468687,142,0
5,2411,1617,360,-360,FALSE,0.000537191,0,0.000648026,0.004104351,219,0
6,1617,2412,360,-360,FALSE,0.000816776,0,0.001045868,0.007016112,219,0
7,2359,2360,360,-360,FALSE,0.00711508,0,0.23093904,0.368843148,41,0
8,2031,2426,360,-360,FALSE,6.74966E-05,0,0.001679829,0.004440591,64,0
9,6724,5593,360,-360,FALSE,7.2214E-05,0,0.000459576,0.00411439,141,0
10,5593,2413,360,-360,FALSE,0.000245114,0,0.004277243,0.015814843,80,0
11,2426,6724,360,-360,FALSE,6.75837E-05,0,0.001197397,0.004491774,80,0
12,2414,8021,360,-360,FALSE,0.001055552,0,0.006070384,0.020557766,110,0
13,2415,2446,360,-360,FALSE,0.000170346,0,0.00268915,0.011982743,176,0
14,2034,2417,360,-360,FALSE,3.11226E-05,0,0.000178273,0.001442389,141,0
15,2436,2416,360,-360,FALSE,0.000220271,0,0.005369884,0.013916957,64,0
16,2417,2436,360,-360,FALSE,1.2514E-05,0,0.000311444,0.000823295,64,0
17,2417,2418,360,-360,FALSE,0.000218997,0,0.005338819,0.013836448,64,0
18,1867,2034,360,-360,FALSE,0.000353619,0,0.007048799,0.009689568,57,0
19,1866,2440,360,-360,FALSE,0.000107642,0,0.004377372,0.008578813,41,0
20,2440,2419,360,-360,FALSE,0.000418943,0,0.011346593,0.032543428,64,0
21,2420,1866,360,-360,FALSE,0.000105996,0,0.002584027,0.006696939,64,0
22,2421,5705,360,-360,FALSE,0.000243914,0,0.029241544,0.0231413,24,0
23,5705,2419,360,-360,FALSE,3.6909E-05,0,0.001554694,0.002596541,78,0
24,2422,2423,360,-360,FALSE,0.000412957,0,0.01118448,0.032078464,64,0
25,2423,2424,360,-360,FALSE,0.000171249,0,0.000984844,0.003335229,110,0
26,2424,2425,360,-360,FALSE,9.41106E-05,0,0.00224089,0.005676111,64,0
27,2425,2032,360,-360,FALSE,0.000170193,0,0.004446107,0.012315399,64,0
28,2425,2414,360,-360,FALSE,5.13463E-05,0,0.001277888,0.003378068,64,0
29,2426,2362,360,-360,FALSE,0.000627388,0,0.009673281,0.016227316,64,0
30,2427,6726,360,-360,FALSE,1.64162E-05,0,0.000428856,0.001187901,64,0
31,6726,2428,360,-360,FALSE,0.000412648,0,0.010059577,0.026071286,64,0
32,2428,2429,360,-360,FALSE,6.30772E-05,0,0.001478477,0.001764977,82,0
33,2429,2430,360,-360,FALSE,4.02913E-05,0,0.000959384,0.002430093,64,0
34,2430,2033,360,-360,FALSE,0.000215136,0,0.00524469,0.013592495,64,0
35,2031,2431,360,-360,FALSE,0.000605096,0,0.014182702,0.016931221,82,0
36,2431,2432,360,-360,FALSE,6.3821E-05,0,0.005434068,0.005250401,56,0
37,2432,2033,360,-360,FALSE,0.000390558,0,0.012577464,0.011780057,70,0
38,1867,2034,360,-360,FALSE,0.000350207,0,0.005399625,0.009058074,64,0
39,1867,2433,360,-360,FALSE,0.000468896,0,0.007229603,0.012127936,64,0
40,2434,2435,360,-360,FALSE,6.82235E-05,0,0.001782271,0.004936761,64,0
41,2433,2438,360,-360,FALSE,2.86331E-05,0,0.000956142,0.002145119,57,0
42,2438,2436,360,-360,FALSE,0.000145469,0,0.01687586,0.012944734,24,0
43,2437,2438,360,-360,FALSE,5.9195E-05,0,0.001586018,0.004500614,64,0
44,2434,2437,360,-360,FALSE,2.20989E-05,0,0.00034073,0.000571587,64,0
45,2435,2439,360,-360,FALSE,2.28592E-05,0,0.000544305,0.00137871,64,0
46,2440,2420,360,-360,FALSE,7.68927E-05,0,0.001913675,0.005058759,64,0
47,2420,2441,360,-360,FALSE,0.000105611,0,0.002829645,0.008029635,64,0
48,2035,2421,360,-360,FALSE,0.000124283,0,0.003329919,0.00944925,64,0
49,2441,2442,360,-360,FALSE,3.58994E-05,0,0.000206456,0.000699176,110,0
50,2442,2443,360,-360,FALSE,3.49026E-05,0,0.000831074,0.002105087,64,0
51,2443,2444,360,-360,FALSE,3.6248E-05,0,0.000208461,0.000705964,110,0
52,2444,2445,360,-360,FALSE,7.80082E-05,0,0.002037886,0.005644797,64,0
53,2445,2446,360,-360,FALSE,0.000493053,0,0.002835509,0.009602639,110,0
54,2446,2034,360,-360,FALSE,4.59185E-05,0,0.000264076,0.000894307,110,0
55,2446,2034,360,-360,FALSE,4.81049E-05,0,0.000276649,0.000936888,110,0
56,2447,8021,360,-360,FALSE,0.000150497,0,0.000452089,0.002462921,154,0
57,2418,8021,360,-360,FALSE,0.000169311,0,0.000973699,0.003297484,110,0
58,2416,8021,360,-360,FALSE,0.000131585,0,0.000756738,0.002562736,110,0
59,2363,2364,360,-360,FALSE,0.000837047,0,0.016685018,0.022936002,57,0
60,2363,2448,360,-360,FALSE,0.000773472,0,0.015417776,0.021193977,57,0
61,2364,2448,360,-360,FALSE,3.82262E-05,0,0.000895991,0.001069616,82,0
62,2448,2449,360,-360,FALSE,6.38058E-05,0,0.002054808,0.001924522,70,0
63,2450,6732,360,-360,FALSE,0.000126762,0,0.001954469,0.003278693,64,0
64,6732,5715,360,-360,FALSE,0.000109445,0,0.000844547,0.002307324,92,0
65,2451,6731,360,-360,FALSE,2.4996E-05,0,0.000762009,0.001565961,57,0
66,6731,2452,360,-360,FALSE,0.000210009,0,0.008207151,0.015511133,41,0
67,2449,2451,360,-360,FALSE,1.9906E-05,0,0.000473987,0.001200596,64,0
68,2451,2452,360,-360,FALSE,0.000362061,0,0.005582387,0.009364664,64,0
69,2450,2452,360,-360,FALSE,6.27328E-05,0,0.000360774,0.00122178,110,0
