generator,scenario,timepoint,Dispatch_MW
cats_528,sc1,2035-01-01T00:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T01:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T02:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T03:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T04:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T05:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T06:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T07:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T08:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T09:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T10:00:00.000000-0800,16.445
cats_528,sc1,2035-01-01T11:00:00.000000-0800,34.034
cats_528,sc1,2035-01-01T12:00:00.000000-0800,48.191
cats_528,sc1,2035-01-01T13:00:00.000000-0800,54.769
cats_528,sc1,2035-01-01T14:00:00.000000-0800,48.191
cats_528,sc1,2035-01-01T15:00:00.000000-0800,34.463
cats_528,sc1,2035-01-01T16:00:00.000000-0800,23.452
cats_528,sc1,2035-01-01T17:00:00.000000-0800,17.732
cats_528,sc1,2035-01-01T18:00:00.000000-0800,9.152000000000001
cats_528,sc1,2035-01-01T19:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T20:00:00.000000-0800,0.429
cats_528,sc1,2035-01-01T21:00:00.000000-0800,0.14300000000000002
cats_528,sc1,2035-01-01T22:00:00.000000-0800,0.0
cats_528,sc1,2035-01-01T23:00:00.000000-0800,0.28600000000000003
cats_529,sc1,2035-01-01T00:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T01:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T02:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T03:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T04:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T05:00:00.000000-0800,0.0
cats_529,sc1,2035-01-01T06:00:00.000000-0800,0.0
