name,from_bus,to_bus,scenario,timepoint,from_bus_angle_deg,to_bus_angle_deg,DCflow_MW,losses_MW
1,1,2,sc1,tp_1,0.0,-0.1626111535138981,10.000000103179833,0.28100000579870665
1,1,2,sc1,tp_2,0.0,-0.16261115171474572,9.999999992538443,0.2809999995806605
1,1,2,sc1,tp_3,0.0,-0.16261115334504003,10.000000092795672,0.28100000521511675
4,2,3,sc1,tp_1,-0.1626111535138981,-0.03761468089480709,-20.00000000533625,0.43200000023052604
4,2,3,sc1,tp_2,-0.16261115171474572,-0.03761467909651677,-20.000000005198316,0.43200000022456725
4,2,3,sc1,tp_3,-0.16261115334504003,-0.03761468075929958,-20.00000000000001,0.4320000000000005
2,1,4,sc1,tp_1,0.0,-5.282568853548162e-9,3.002808085517117e-7,2.74112434512788e-16
5,3,4,sc1,tp_1,-0.03761468089480709,-5.282568853548162e-9,-2.1885519768749244,0.014225586473784926
2,1,4,sc1,tp_2,0.0,-0.31027652998871214,17.637268889936003,0.9456626918435493
5,3,4,sc1,tp_2,-0.03761467909651677,-0.31027652998871214,15.864409916493805,0.7474881209356845
2,1,4,sc1,tp_3,0.0,-0.31027652998871214,17.637268889936003,0.9456626918435493
5,3,4,sc1,tp_3,-0.03761468075929958,-0.31027652998871214,15.864409819747348,0.7474881118188214
3,1,5,sc1,tp_1,0.0,0.07407198314124853,-19.99999983441397,0.25599999576099763
6,4,5,sc1,tp_1,-5.282568853548162e-9,0.07407198314124853,-4.309764581440605,0.05516499011989655
3,1,5,sc1,tp_2,0.0,0.0740719824395785,-19.99999964495771,0.2559999909109175
6,4,5,sc1,tp_2,-0.31027652998871214,0.0740719824395785,-22.36272632935299,1.4852718407781664
3,1,5,sc1,tp_3,0.0,0.07407198244506867,-19.9999996464401,0.25599999094886666
6,4,5,sc1,tp_3,-0.31027652998871214,0.07407198244506867,-22.36272632967243,1.485271840820599
