bus,scenario,timepoint,generator_dispatch_MW,storage_dispatch_MW,load_shedding_MW,load_MW,net_line_leaving_flow_MW
1,sc1,tp_1,0.0,0,0.0,10.0,-9.999999430767554
1,sc1,tp_2,27.63726878678635,0,0.0,20.0,7.63726923759793
1,sc1,tp_3,12.637268580091009,0,0.0,5.0,7.637269336483721
2,sc1,tp_1,0.0,0,269.9999998912777,300.0,-30.000000108722297
2,sc1,tp_2,0.0,0,70.00000000218564,100.0,-29.999999997814346
2,sc1,tp_3,0.0,0,269.9999999070092,300.0,-30.000000092990746
3,sc1,tp_1,317.8114480341938,0,0.0,300.0,17.811448028220596
3,sc1,tp_2,235.8644098995958,0,0.0,200.0,35.86440992160225
3,sc1,tp_3,135.86440989764534,0,0.0,100.0,35.86440981956138
4,sc1,tp_1,97.8787869824988,0,0.0,100.0,-2.121212904548824
4,sc1,tp_2,400.0,0,44.13559499698518,500.0,-55.86440513569711
4,sc1,tp_3,400.0,0,144.1355950746086,600.0,-55.86440503916749
5,sc1,tp_1,24.309764430036342,0,0.0,0.0,24.30976441581808
5,sc1,tp_2,52.362725987069695,0,0.0,10.0,42.36272597431128
5,sc1,tp_3,47.36272599077556,0,0.0,5.0,42.362725976113126
