name,from_bus,to_bus,angle_max_deg,angle_min_deg,expand_capacity,b_pu,g_pu,r_pu,x_pu,cap_existing_power_MW,cost_fixed_power_USDperkW
1,1,2410,60.00014031,-60.00014031,FALSE,2.70513E-05,0,4.77325E-05,0.000218973,375,
2,2410,20,60.00014031,-60.00014031,FALSE,0.002320551,0,0.00091416,0.007485377,637,
3,2410,2411,60.00014031,-60.00014031,FALSE,0.002469329,0,0.003540388,0.016137801,385,
4,2411,1618,60.00014031,-60.00014031,FALSE,7.07109E-05,0,0.000155719,0.000468687,342,
5,2411,1617,60.00014031,-60.00014031,FALSE,0.000537191,0,0.000648026,0.004104351,419,
6,1617,2412,60.00014031,-60.00014031,FALSE,0.000816776,0,0.001045868,0.007016112,419,
7,2359,2360,60.00014031,-60.00014031,FALSE,0.00711508,0,0.23093904,0.368843148,241,
8,2031,2426,60.00014031,-60.00014031,FALSE,6.74966E-05,0,0.001679829,0.004440591,264,
9,6724,5593,60.00014031,-60.00014031,FALSE,7.2214E-05,0,0.000459576,0.00411439,341,
10,5593,2413,60.00014031,-60.00014031,FALSE,0.000245114,0,0.004277243,0.015814843,280,
11,2426,6724,60.00014031,-60.00014031,FALSE,6.75837E-05,0,0.001197397,0.004491774,280,
12,2414,8021,60.00014031,-60.00014031,FALSE,0.001055552,0,0.006070384,0.020557766,310,
13,2415,2446,60.00014031,-60.00014031,FALSE,0.000170346,0,0.00268915,0.011982743,376,
14,2034,2417,60.00014031,-60.00014031,FALSE,3.11226E-05,0,0.000178273,0.001442389,341,
15,2436,2416,60.00014031,-60.00014031,FALSE,0.000220271,0,0.005369884,0.013916957,264,
16,2417,2436,60.00014031,-60.00014031,FALSE,1.2514E-05,0,0.000311444,0.000823295,264,
17,2417,2418,60.00014031,-60.00014031,FALSE,0.000218997,0,0.005338819,0.013836448,264,
18,1867,2034,60.00014031,-60.00014031,FALSE,0.000353619,0,0.007048799,0.009689568,257,
19,1866,2440,60.00014031,-60.00014031,FALSE,0.000107642,0,0.004377372,0.008578813,241,
20,2440,2419,60.00014031,-60.00014031,FALSE,0.000418943,0,0.011346593,0.032543428,264,
21,2420,1866,60.00014031,-60.00014031,FALSE,0.000105996,0,0.002584027,0.006696939,264,
22,2421,5705,60.00014031,-60.00014031,FALSE,0.000243914,0,0.029241544,0.0231413,224,
23,5705,2419,60.00014031,-60.00014031,FALSE,3.6909E-05,0,0.001554694,0.002596541,278,
24,2422,2423,60.00014031,-60.00014031,FALSE,0.000412957,0,0.01118448,0.032078464,264,
25,2423,2424,60.00014031,-60.00014031,FALSE,0.000171249,0,0.000984844,0.003335229,310,
26,2424,2425,60.00014031,-60.00014031,FALSE,9.41106E-05,0,0.00224089,0.005676111,264,
27,2425,2032,60.00014031,-60.00014031,FALSE,0.000170193,0,0.004446107,0.012315399,264,
28,2425,2414,60.00014031,-60.00014031,FALSE,5.13463E-05,0,0.001277888,0.003378068,264,
29,2426,2362,60.00014031,-60.00014031,FALSE,0.000627388,0,0.009673281,0.016227316,264,
30,2427,6726,60.00014031,-60.00014031,FALSE,1.64162E-05,0,0.000428856,0.001187901,264,
31,6726,2428,60.00014031,-60.00014031,FALSE,0.000412648,0,0.010059577,0.026071286,264,
