generator,Capacity_MW
cats_1,0.0
cats_2,0.0
cats_3,0.0
cats_4,0.0
cats_5,0.0
cats_6,0.0
cats_7,0.0
cats_8,0.0
cats_9,0.0
cats_10,0.0
cats_11,0.0
cats_12,0.0
cats_13,0.0
cats_14,0.0
cats_15,0.0
cats_16,0.0
cats_17,0.0
cats_18,0.0
cats_19,0.0
cats_20,0.0
cats_21,0.0
cats_22,0.0
cats_23,0.0
cats_24,0.0
cats_25,0.0
cats_26,0.0
cats_27,0.0
cats_28,0.0
cats_29,0.0
cats_30,0.0
cats_31,0.0
cats_32,0.0
cats_33,0.0
cats_34,0.0
cats_35,0.0
cats_36,0.0
cats_37,0.0
cats_38,0.0
cats_39,0.0
cats_40,0.0
cats_41,0.0
cats_42,0.0
cats_43,0.0
cats_44,0.0
cats_45,0.0
cats_46,0.0
cats_47,0.0
cats_48,0.0
cats_49,0.0
cats_50,0.0
cats_51,0.0
cats_52,0.0
cats_53,0.0
cats_54,0.0
cats_55,0.0
cats_56,0.0
cats_57,0.0
cats_58,0.0
cats_59,0.0
cats_60,0.0
cats_61,0.0
cats_62,0.0
cats_63,0.0
cats_64,0.0
cats_65,0.0
cats_66,0.0
cats_67,0.0
cats_68,0.0
cats_69,0.0
cats_70,0.0
cats_71,0.0
cats_72,0.0
cats_73,0.0
cats_74,0.0
cats_75,0.0
cats_76,0.0
cats_77,0.0
cats_78,0.0
cats_79,0.0
cats_80,0.0
cats_81,0.0
cats_82,0.0
cats_83,0.0
cats_84,0.0
cats_85,0.0
cats_86,0.0
cats_87,0.0
cats_88,0.0
cats_89,0.0
cats_90,0.0
cats_91,0.0
cats_92,0.0
cats_93,0.0
cats_94,0.0
cats_95,0.0
cats_96,0.0
cats_97,0.0
cats_98,0.0
cats_99,0.0
cats_100,0.0
cats_101,0.0
cats_102,0.0
cats_103,0.0
cats_104,0.0
cats_105,0.0
cats_106,0.0
cats_107,0.0
cats_108,0.0
cats_109,0.0
cats_110,0.0
cats_111,0.0
cats_112,0.0
