name,from_bus,to_bus,scenario,timepoint,from_bus_angle_deg,to_bus_angle_deg,DCflow_MW,losses_MW
3294,4638,2,1,2035-01-01T00:00:00.000000-0800,-17.894281242412877,-17.894281242412877,0.0,0.0
3280,3972,3,1,2035-01-01T00:00:00.000000-0800,-19.74017194448799,-19.33342022294333,-22.898113536360427,5.053414112409507
10053,3356,4,1,2035-01-01T00:00:00.000000-0800,-18.79800393558063,-18.821338004008663,26.63040368946902,0.15905027663053703
4204,13,5,1,2035-01-01T00:00:00.000000-0800,-29.005956410560504,-29.01206233246374,44.53983804230991,0.08018666876373692
2294,3510,6,1,2035-01-01T00:00:00.000000-0800,-51.79142543899722,-51.79142543899881,1.539871916575262e-11,1.7130019520601485e-23
1634,3167,8,1,2035-01-01T00:00:00.000000-0800,-23.490280998410526,-23.48639709422912,-52.29788823372709,0.11020687486772641
1637,3170,8,1,2035-01-01T00:00:00.000000-0800,-23.47163138208402,-23.48639709422912,91.5982287776753,0.7500644014236455
1630,7824,10,1,2035-01-01T00:00:00.000000-0800,-23.678117005397915,-23.74123655327107,4.6978944369132405,0.08201092199456082
3271,3965,12,1,2035-01-01T00:00:00.000000-0800,-22.7569991135578,-22.764853302600738,0.9886676319413717,0.0062282871791899674
1444,3077,13,1,2035-01-01T00:00:00.000000-0800,-28.98642640741828,-29.005956410560504,33.439792150052796,0.3386416536568898
1445,3077,13,1,2035-01-01T00:00:00.000000-0800,-28.98642640741828,-29.005956410560504,31.805476603568014,0.32978589219225246
3256,3958,14,1,2035-01-01T00:00:00.000000-0800,-22.319538046622032,-22.322484376710523,7.823742126362155,0.013741611379264761
3275,3967,15,1,2035-01-01T00:00:00.000000-0800,-22.291038692349332,-22.24183500045133,-1.504471701632273,0.054890811349075475
3268,3968,15,1,2035-01-01T00:00:00.000000-0800,-22.23460575111403,-22.24183500045133,29.194779342758345,0.13697622348417265
3261,3960,17,1,2035-01-01T00:00:00.000000-0800,-23.064947531912097,-23.100404046138404,37.00839947330994,0.7314724551542094
9966,7580,18,1,2035-01-01T00:00:00.000000-0800,-14.806691163257803,-14.788917022441995,-216.8285847571084,0.501975259686286
3253,1906,20,1,2035-01-01T00:00:00.000000-0800,-23.793834483735385,-23.736047460684212,-18.44877725096666,0.3149000113075405
2,2410,20,1,2035-01-01T00:00:00.000000-0800,-23.773314828422095,-23.736047460684212,-8.561755623055097,0.06701127323040466
1632,3168,20,1,2035-01-01T00:00:00.000000-0800,-23.73110868944164,-23.736047460684212,20.068157759752953,0.036959304462845406
1635,3168,20,1,2035-01-01T00:00:00.000000-0800,-23.73110868944164,-23.736047460684212,18.038904815005576,0.033221926064590665
1639,3171,20,1,2035-01-01T00:00:00.000000-0800,-23.719158127745352,-23.736047460684212,21.194189915365335,0.16785963777802046
1642,3171,20,1,2035-01-01T00:00:00.000000-0800,-23.719158127745352,-23.736047460684212,19.981448069016682,0.15113801917337172
1449,3078,21,1,2035-01-01T00:00:00.000000-0800,-24.04476463729615,-24.04492564650468,0.7147610999938214,0.00006786626573318199
