bus,scenario,timepoint,local_marginal_price_USDperMWh
1,1,2035-01-01T00:00:00.000000-0800,75.4931641799969
2,1,2035-01-01T00:00:00.000000-0800,75.54788935782426
3,1,2035-01-01T00:00:00.000000-0800,75.54224297432664
4,1,2035-01-01T00:00:00.000000-0800,75.51392352946172
5,1,2035-01-01T00:00:00.000000-0800,75.54505800825915
6,1,2035-01-01T00:00:00.000000-0800,8.342040080051921
7,1,2035-01-01T00:00:00.000000-0800,75.5313460517189
8,1,2035-01-01T00:00:00.000000-0800,75.49579794636247
9,1,2035-01-01T00:00:00.000000-0800,75.54505800825903
10,1,2035-01-01T00:00:00.000000-0800,75.50886140495551
11,1,2035-01-01T00:00:00.000000-0800,75.47098623220387
12,1,2035-01-01T00:00:00.000000-0800,75.53253987518258
13,1,2035-01-01T00:00:00.000000-0800,75.54505800825915
14,1,2035-01-01T00:00:00.000000-0800,75.52302013429855
15,1,2035-01-01T00:00:00.000000-0800,75.53461246653846
16,1,2035-01-01T00:00:00.000000-0800,75.52448114311636
17,1,2035-01-01T00:00:00.000000-0800,75.53028646306394
18,1,2035-01-01T00:00:00.000000-0800,75.56031202863166
19,1,2035-01-01T00:00:00.000000-0800,75.49100003193541
20,1,2035-01-01T00:00:00.000000-0800,75.49466456727454
21,1,2035-01-01T00:00:00.000000-0800,75.54164254179885
22,1,2035-01-01T00:00:00.000000-0800,75.53491755062528
23,1,2035-01-01T00:00:00.000000-0800,75.53857039946274
24,1,2035-01-01T00:00:00.000000-0800,75.53086852063575
25,1,2035-01-01T00:00:00.000000-0800,75.3998898122873
26,1,2035-01-01T00:00:00.000000-0800,75.40001232521122
27,1,2035-01-01T00:00:00.000000-0800,75.40000019121015
28,1,2035-01-01T00:00:00.000000-0800,75.40005278539803
29,1,2035-01-01T00:00:00.000000-0800,75.39988981228724
30,1,2035-01-01T00:00:00.000000-0800,75.39988981228724
31,1,2035-01-01T00:00:00.000000-0800,75.39988981228844
32,1,2035-01-01T00:00:00.000000-0800,75.39895419665885
33,1,2035-01-01T00:00:00.000000-0800,75.39956966233895
34,1,2035-01-01T00:00:00.000000-0800,75.53345852338842
35,1,2035-01-01T00:00:00.000000-0800,74.77799118586698
36,1,2035-01-01T00:00:00.000000-0800,74.62588191418847
37,1,2035-01-01T00:00:00.000000-0800,74.78101699986301
38,1,2035-01-01T00:00:00.000000-0800,74.62588191419138
39,1,2035-01-01T00:00:00.000000-0800,74.93732566662132
40,1,2035-01-01T00:00:00.000000-0800,72.70723747468064
41,1,2035-01-01T00:00:00.000000-0800,74.85240397275321
42,1,2035-01-01T00:00:00.000000-0800,74.62588191420922
43,1,2035-01-01T00:00:00.000000-0800,74.74976503389311
44,1,2035-01-01T00:00:00.000000-0800,74.74976503389327
45,1,2035-01-01T00:00:00.000000-0800,76.78283762395615
46,1,2035-01-01T00:00:00.000000-0800,74.7497650338932
47,1,2035-01-01T00:00:00.000000-0800,72.78495921999563
48,1,2035-01-01T00:00:00.000000-0800,74.7497650338934
49,1,2035-01-01T00:00:00.000000-0800,74.76660611394952
50,1,2035-01-01T00:00:00.000000-0800,74.76223047913993
51,1,2035-01-01T00:00:00.000000-0800,74.62588191418975
52,1,2035-01-01T00:00:00.000000-0800,74.7497650338934
53,1,2035-01-01T00:00:00.000000-0800,74.62588191420922
54,1,2035-01-01T00:00:00.000000-0800,74.84403827707844
55,1,2035-01-01T00:00:00.000000-0800,75.40019485132822
56,1,2035-01-01T00:00:00.000000-0800,75.48239503805945
57,1,2035-01-01T00:00:00.000000-0800,75.4040292209028
58,1,2035-01-01T00:00:00.000000-0800,75.4826734232022
59,1,2035-01-01T00:00:00.000000-0800,75.39835878544874
60,1,2035-01-01T00:00:00.000000-0800,75.48267342320216
61,1,2035-01-01T00:00:00.000000-0800,75.40019485132822
62,1,2035-01-01T00:00:00.000000-0800,73.73385966328787
63,1,2035-01-01T00:00:00.000000-0800,73.76812911760474
64,1,2035-01-01T00:00:00.000000-0800,73.73385966328813
65,1,2035-01-01T00:00:00.000000-0800,73.73385966328807
66,1,2035-01-01T00:00:00.000000-0800,73.54764693010983
67,1,2035-01-01T00:00:00.000000-0800,73.39137884667014
68,1,2035-01-01T00:00:00.000000-0800,73.70430152143197
69,1,2035-01-01T00:00:00.000000-0800,75.4033537298535
70,1,2035-01-01T00:00:00.000000-0800,75.54796165147022
71,1,2035-01-01T00:00:00.000000-0800,75.47571602585288
72,1,2035-01-01T00:00:00.000000-0800,75.55938054438126
73,1,2035-01-01T00:00:00.000000-0800,75.4757731662942
74,1,2035-01-01T00:00:00.000000-0800,75.47170200326863
75,1,2035-01-01T00:00:00.000000-0800,75.41168585994899
76,1,2035-01-01T00:00:00.000000-0800,75.41671544509678
77,1,2035-01-01T00:00:00.000000-0800,75.47674398288594
78,1,2035-01-01T00:00:00.000000-0800,75.54001095232539
79,1,2035-01-01T00:00:00.000000-0800,75.51179535922184
80,1,2035-01-01T00:00:00.000000-0800,75.4297853451193
81,1,2035-01-01T00:00:00.000000-0800,75.51180456278186
82,1,2035-01-01T00:00:00.000000-0800,75.47296865185017
83,1,2035-01-01T00:00:00.000000-0800,75.4656205383153
84,1,2035-01-01T00:00:00.000000-0800,75.4749919474933
85,1,2035-01-01T00:00:00.000000-0800,75.4716639533971
86,1,2035-01-01T00:00:00.000000-0800,75.47646054949355
87,1,2035-01-01T00:00:00.000000-0800,75.46562992904906
88,1,2035-01-01T00:00:00.000000-0800,75.41671544509722
89,1,2035-01-01T00:00:00.000000-0800,75.54796165147022
90,1,2035-01-01T00:00:00.000000-0800,75.42219305995319
91,1,2035-01-01T00:00:00.000000-0800,75.51180456278186
92,1,2035-01-01T00:00:00.000000-0800,75.47544522318996
93,1,2035-01-01T00:00:00.000000-0800,75.39453841226921
94,1,2035-01-01T00:00:00.000000-0800,75.4270235541444
95,1,2035-01-01T00:00:00.000000-0800,75.5085653628789
96,1,2035-01-01T00:00:00.000000-0800,75.44007590366864
97,1,2035-01-01T00:00:00.000000-0800,75.4588019966682
98,1,2035-01-01T00:00:00.000000-0800,71.32498859116747
99,1,2035-01-01T00:00:00.000000-0800,75.10131024883641
100,1,2035-01-01T00:00:00.000000-0800,75.0874321364328
101,1,2035-01-01T00:00:00.000000-0800,75.39988981229565
102,1,2035-01-01T00:00:00.000000-0800,75.03607005455352
103,1,2035-01-01T00:00:00.000000-0800,75.09450862174779
104,1,2035-01-01T00:00:00.000000-0800,75.39988981229462
105,1,2035-01-01T00:00:00.000000-0800,75.01830000741191
106,1,2035-01-01T00:00:00.000000-0800,75.07519531905277
107,1,2035-01-01T00:00:00.000000-0800,75.13885678237845
108,1,2035-01-01T00:00:00.000000-0800,75.30855775599075
109,1,2035-01-01T00:00:00.000000-0800,75.66783961566645
110,1,2035-01-01T00:00:00.000000-0800,75.5703046649238
111,1,2035-01-01T00:00:00.000000-0800,75.67623897235109
112,1,2035-01-01T00:00:00.000000-0800,75.5703046649238
113,1,2035-01-01T00:00:00.000000-0800,75.26510294357078
114,1,2035-01-01T00:00:00.000000-0800,75.46535400590258
115,1,2035-01-01T00:00:00.000000-0800,75.56827801686256
116,1,2035-01-01T00:00:00.000000-0800,75.49867804877715
117,1,2035-01-01T00:00:00.000000-0800,75.58252360907062
118,1,2035-01-01T00:00:00.000000-0800,75.44415603360112
119,1,2035-01-01T00:00:00.000000-0800,75.55691143881673
120,1,2035-01-01T00:00:00.000000-0800,75.39897907830424
121,1,2035-01-01T00:00:00.000000-0800,75.57948100639271
122,1,2035-01-01T00:00:00.000000-0800,75.50753795910654
123,1,2035-01-01T00:00:00.000000-0800,75.44580816979516
124,1,2035-01-01T00:00:00.000000-0800,75.58670879668236
125,1,2035-01-01T00:00:00.000000-0800,75.29639819537418
126,1,2035-01-01T00:00:00.000000-0800,75.57030466492392
127,1,2035-01-01T00:00:00.000000-0800,75.29639819537313
128,1,2035-01-01T00:00:00.000000-0800,75.29639819536614
129,1,2035-01-01T00:00:00.000000-0800,75.50808758424115
130,1,2035-01-01T00:00:00.000000-0800,75.49903445682084
131,1,2035-01-01T00:00:00.000000-0800,75.55691143881673
132,1,2035-01-01T00:00:00.000000-0800,75.44778714258484
133,1,2035-01-01T00:00:00.000000-0800,75.39961432830292
134,1,2035-01-01T00:00:00.000000-0800,75.39859197234456
135,1,2035-01-01T00:00:00.000000-0800,75.2651029435708
136,1,2035-01-01T00:00:00.000000-0800,75.2097261106748
137,1,2035-01-01T00:00:00.000000-0800,75.50381706185058
138,1,2035-01-01T00:00:00.000000-0800,75.502529614316
139,1,2035-01-01T00:00:00.000000-0800,75.39823022513757
140,1,2035-01-01T00:00:00.000000-0800,75.29639819537798
141,1,2035-01-01T00:00:00.000000-0800,75.26510294357006
142,1,2035-01-01T00:00:00.000000-0800,75.26510294357023
143,1,2035-01-01T00:00:00.000000-0800,75.29639819537356
144,1,2035-01-01T00:00:00.000000-0800,75.49274508378394
145,1,2035-01-01T00:00:00.000000-0800,75.49903445682058
146,1,2035-01-01T00:00:00.000000-0800,75.29639819537417
147,1,2035-01-01T00:00:00.000000-0800,75.2651029435708
148,1,2035-01-01T00:00:00.000000-0800,75.49867804877715
149,1,2035-01-01T00:00:00.000000-0800,75.57696145664244
150,1,2035-01-01T00:00:00.000000-0800,75.57152738520927
151,1,2035-01-01T00:00:00.000000-0800,73.08607548248108
152,1,2035-01-01T00:00:00.000000-0800,72.61621317494674
153,1,2035-01-01T00:00:00.000000-0800,72.75286171162658
154,1,2035-01-01T00:00:00.000000-0800,72.97825238236061
155,1,2035-01-01T00:00:00.000000-0800,72.75278359534805
156,1,2035-01-01T00:00:00.000000-0800,73.12962134716929
157,1,2035-01-01T00:00:00.000000-0800,73.08292816613584
158,1,2035-01-01T00:00:00.000000-0800,73.0476532236252
159,1,2035-01-01T00:00:00.000000-0800,71.3345231353148
160,1,2035-01-01T00:00:00.000000-0800,71.3345231353175
161,1,2035-01-01T00:00:00.000000-0800,71.33452313530219
162,1,2035-01-01T00:00:00.000000-0800,71.33452313531484
163,1,2035-01-01T00:00:00.000000-0800,71.3345231353148
164,1,2035-01-01T00:00:00.000000-0800,71.36894257503587
165,1,2035-01-01T00:00:00.000000-0800,71.33452313531345
166,1,2035-01-01T00:00:00.000000-0800,8.342040080051667
167,1,2035-01-01T00:00:00.000000-0800,8.342040080051662
168,1,2035-01-01T00:00:00.000000-0800,8.342040080051667
169,1,2035-01-01T00:00:00.000000-0800,71.3345231353199
170,1,2035-01-01T00:00:00.000000-0800,71.33452313532025
171,1,2035-01-01T00:00:00.000000-0800,71.3345231353162
172,1,2035-01-01T00:00:00.000000-0800,71.33452313531345
173,1,2035-01-01T00:00:00.000000-0800,71.3345231353219
174,1,2035-01-01T00:00:00.000000-0800,75.55994251391677
175,1,2035-01-01T00:00:00.000000-0800,71.33452313532358
176,1,2035-01-01T00:00:00.000000-0800,71.35195960182399
177,1,2035-01-01T00:00:00.000000-0800,71.3345231353236
178,1,2035-01-01T00:00:00.000000-0800,71.33422551790058
179,1,2035-01-01T00:00:00.000000-0800,75.49998219563362
180,1,2035-01-01T00:00:00.000000-0800,71.3345231353066
181,1,2035-01-01T00:00:00.000000-0800,76.79197170043992
182,1,2035-01-01T00:00:00.000000-0800,76.79249022712044
183,1,2035-01-01T00:00:00.000000-0800,76.79466838625837
184,1,2035-01-01T00:00:00.000000-0800,76.79760966118644
185,1,2035-01-01T00:00:00.000000-0800,76.78849072175713
186,1,2035-01-01T00:00:00.000000-0800,76.7935518345047
187,1,2035-01-01T00:00:00.000000-0800,76.7956086576689
188,1,2035-01-01T00:00:00.000000-0800,76.78917834011342
189,1,2035-01-01T00:00:00.000000-0800,76.79474543469256
190,1,2035-01-01T00:00:00.000000-0800,76.79196224701494
191,1,2035-01-01T00:00:00.000000-0800,76.79196224701494
192,1,2035-01-01T00:00:00.000000-0800,76.7935801432846
193,1,2035-01-01T00:00:00.000000-0800,76.79466838625837
194,1,2035-01-01T00:00:00.000000-0800,76.79263081771941
195,1,2035-01-01T00:00:00.000000-0800,76.79492766398862
196,1,2035-01-01T00:00:00.000000-0800,76.79466838625859
197,1,2035-01-01T00:00:00.000000-0800,76.79555363273921
198,1,2035-01-01T00:00:00.000000-0800,76.7892477902551
199,1,2035-01-01T00:00:00.000000-0800,76.79182928963633
200,1,2035-01-01T00:00:00.000000-0800,76.79534593235181
201,1,2035-01-01T00:00:00.000000-0800,76.79359250697748
202,1,2035-01-01T00:00:00.000000-0800,76.79056657328222
203,1,2035-01-01T00:00:00.000000-0800,76.79550479238942
204,1,2035-01-01T00:00:00.000000-0800,76.79415123372536
205,1,2035-01-01T00:00:00.000000-0800,76.79491986462084
206,1,2035-01-01T00:00:00.000000-0800,76.79274295841375
207,1,2035-01-01T00:00:00.000000-0800,76.79159225977124
208,1,2035-01-01T00:00:00.000000-0800,76.93716935106423
209,1,2035-01-01T00:00:00.000000-0800,76.82545077931258
210,1,2035-01-01T00:00:00.000000-0800,76.87189069774536
211,1,2035-01-01T00:00:00.000000-0800,76.93722609005691
212,1,2035-01-01T00:00:00.000000-0800,76.93716935106741
213,1,2035-01-01T00:00:00.000000-0800,76.93716935106319
214,1,2035-01-01T00:00:00.000000-0800,75.66784146617267
215,1,2035-01-01T00:00:00.000000-0800,75.66784146617367
216,1,2035-01-01T00:00:00.000000-0800,92.3666917771559
217,1,2035-01-01T00:00:00.000000-0800,73.36262844612492
218,1,2035-01-01T00:00:00.000000-0800,72.7456066236454
219,1,2035-01-01T00:00:00.000000-0800,73.15090517534034
220,1,2035-01-01T00:00:00.000000-0800,77.96044175284044
221,1,2035-01-01T00:00:00.000000-0800,75.66784146617127
222,1,2035-01-01T00:00:00.000000-0800,71.55261420126729
223,1,2035-01-01T00:00:00.000000-0800,97.73789869427183
224,1,2035-01-01T00:00:00.000000-0800,75.66784146617367
225,1,2035-01-01T00:00:00.000000-0800,75.6678414661714
226,1,2035-01-01T00:00:00.000000-0800,147.05932848986265
227,1,2035-01-01T00:00:00.000000-0800,71.0351966490535
