storage,scenario,timepoint,discharge_MW,charge_MW,state_of_charge_MWh
cats_1,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_2,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_3,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_4,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_5,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_6,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_7,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_8,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_9,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_10,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_11,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_12,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_13,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_14,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_15,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_16,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_17,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_18,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_19,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_20,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_21,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_22,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_23,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_24,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_25,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_26,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_27,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_28,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_29,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_30,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_31,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_32,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_33,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_34,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_35,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_36,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_37,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_38,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_39,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_40,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_41,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_42,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_43,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_44,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_45,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_46,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_47,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_48,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_49,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_50,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_51,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_52,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_53,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_54,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_55,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_56,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_57,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_58,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_59,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_60,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_61,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_62,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_63,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_64,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_65,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
