bus,scenario,timepoint,local_marginal_price_USDperMWh
1,1,2035-01-01T00:00:00.000000-0800,75.50274197284023
2,1,2035-01-01T00:00:00.000000-0800,75.55074083512129
3,1,2035-01-01T00:00:00.000000-0800,75.54545135170308
4,1,2035-01-01T00:00:00.000000-0800,75.52051277610789
5,1,2035-01-01T00:00:00.000000-0800,75.54757120397447
6,1,2035-01-01T00:00:00.000000-0800,8.348097052763352
7,1,2035-01-01T00:00:00.000000-0800,75.53579755404246
8,1,2035-01-01T00:00:00.000000-0800,75.50501565162736
9,1,2035-01-01T00:00:00.000000-0800,75.54757120397245
10,1,2035-01-01T00:00:00.000000-0800,75.51632512524692
11,1,2035-01-01T00:00:00.000000-0800,75.48452021713724
12,1,2035-01-01T00:00:00.000000-0800,75.53637174176669
13,1,2035-01-01T00:00:00.000000-0800,75.54757120397447
14,1,2035-01-01T00:00:00.000000-0800,75.52815724275753
15,1,2035-01-01T00:00:00.000000-0800,75.5382620162126
16,1,2035-01-01T00:00:00.000000-0800,75.5294228634079
17,1,2035-01-01T00:00:00.000000-0800,75.53445179275458
18,1,2035-01-01T00:00:00.000000-0800,75.56276372526997
19,1,2035-01-01T00:00:00.000000-0800,75.50085160581939
20,1,2035-01-01T00:00:00.000000-0800,75.50403718342271
21,1,2035-01-01T00:00:00.000000-0800,75.54365855190515
22,1,2035-01-01T00:00:00.000000-0800,75.53709076558845
23,1,2035-01-01T00:00:00.000000-0800,75.54201093921506
24,1,2035-01-01T00:00:00.000000-0800,75.53495343845734
25,1,2035-01-01T00:00:00.000000-0800,75.40031701432112
26,1,2035-01-01T00:00:00.000000-0800,75.40043219306204
27,1,2035-01-01T00:00:00.000000-0800,75.40042078554016
28,1,2035-01-01T00:00:00.000000-0800,75.40047023164777
29,1,2035-01-01T00:00:00.000000-0800,75.4003170143211
30,1,2035-01-01T00:00:00.000000-0800,75.40031701432112
31,1,2035-01-01T00:00:00.000000-0800,75.40031701432106
32,1,2035-01-01T00:00:00.000000-0800,75.39943644934803
33,1,2035-01-01T00:00:00.000000-0800,75.4000159303205
34,1,2035-01-01T00:00:00.000000-0800,75.53447098929604
35,1,2035-01-01T00:00:00.000000-0800,74.77559395186148
36,1,2035-01-01T00:00:00.000000-0800,74.62561423007645
37,1,2035-01-01T00:00:00.000000-0800,74.77863882858561
38,1,2035-01-01T00:00:00.000000-0800,74.62561423007641
39,1,2035-01-01T00:00:00.000000-0800,74.85822236767066
40,1,2035-01-01T00:00:00.000000-0800,72.69428684779292
41,1,2035-01-01T00:00:00.000000-0800,74.85047627182972
42,1,2035-01-01T00:00:00.000000-0800,74.62561423007658
43,1,2035-01-01T00:00:00.000000-0800,74.74745428889463
44,1,2035-01-01T00:00:00.000000-0800,74.74745428889462
45,1,2035-01-01T00:00:00.000000-0800,76.7317213197589
46,1,2035-01-01T00:00:00.000000-0800,74.74745428889449
47,1,2035-01-01T00:00:00.000000-0800,72.77305046943142
48,1,2035-01-01T00:00:00.000000-0800,74.74745428889462
49,1,2035-01-01T00:00:00.000000-0800,74.76413700800303
50,1,2035-01-01T00:00:00.000000-0800,74.75980309087058
51,1,2035-01-01T00:00:00.000000-0800,74.62561423007642
52,1,2035-01-01T00:00:00.000000-0800,74.74745428889462
53,1,2035-01-01T00:00:00.000000-0800,74.62561423007656
54,1,2035-01-01T00:00:00.000000-0800,74.84322492457288
55,1,2035-01-01T00:00:00.000000-0800,75.4006038130234
56,1,2035-01-01T00:00:00.000000-0800,75.48294670884808
57,1,2035-01-01T00:00:00.000000-0800,75.40423302875678
58,1,2035-01-01T00:00:00.000000-0800,75.4832263648942
59,1,2035-01-01T00:00:00.000000-0800,75.39887617637422
60,1,2035-01-01T00:00:00.000000-0800,75.48322636489418
61,1,2035-01-01T00:00:00.000000-0800,75.4006038130234
62,1,2035-01-01T00:00:00.000000-0800,73.72863645367015
63,1,2035-01-01T00:00:00.000000-0800,73.7629917555963
64,1,2035-01-01T00:00:00.000000-0800,73.72863645367016
65,1,2035-01-01T00:00:00.000000-0800,73.72863645367016
66,1,2035-01-01T00:00:00.000000-0800,73.541086179834
67,1,2035-01-01T00:00:00.000000-0800,73.38375568930132
68,1,2035-01-01T00:00:00.000000-0800,73.69885890808733
69,1,2035-01-01T00:00:00.000000-0800,75.41801203588048
70,1,2035-01-01T00:00:00.000000-0800,75.55067438078268
71,1,2035-01-01T00:00:00.000000-0800,75.48428723777785
72,1,2035-01-01T00:00:00.000000-0800,75.56164800100294
73,1,2035-01-01T00:00:00.000000-0800,75.48434090839508
74,1,2035-01-01T00:00:00.000000-0800,75.48088801951234
75,1,2035-01-01T00:00:00.000000-0800,75.42587611958284
76,1,2035-01-01T00:00:00.000000-0800,75.43084556928095
77,1,2035-01-01T00:00:00.000000-0800,75.48733296782508
78,1,2035-01-01T00:00:00.000000-0800,75.54336969141768
79,1,2035-01-01T00:00:00.000000-0800,75.51735185731172
80,1,2035-01-01T00:00:00.000000-0800,75.44287484552949
81,1,2035-01-01T00:00:00.000000-0800,75.51735129086336
82,1,2035-01-01T00:00:00.000000-0800,75.48343490877356
83,1,2035-01-01T00:00:00.000000-0800,75.47495137049773
84,1,2035-01-01T00:00:00.000000-0800,75.48369960883157
85,1,2035-01-01T00:00:00.000000-0800,75.48085550144732
86,1,2035-01-01T00:00:00.000000-0800,75.48883244215703
87,1,2035-01-01T00:00:00.000000-0800,75.47495414718094
88,1,2035-01-01T00:00:00.000000-0800,75.43084556928095
89,1,2035-01-01T00:00:00.000000-0800,75.55067438078268
90,1,2035-01-01T00:00:00.000000-0800,75.43579294377527
91,1,2035-01-01T00:00:00.000000-0800,75.51735129086336
92,1,2035-01-01T00:00:00.000000-0800,75.48599199232038
93,1,2035-01-01T00:00:00.000000-0800,75.41146771835409
94,1,2035-01-01T00:00:00.000000-0800,75.44035533443815
95,1,2035-01-01T00:00:00.000000-0800,75.51563796499754
96,1,2035-01-01T00:00:00.000000-0800,75.45239671046453
97,1,2035-01-01T00:00:00.000000-0800,75.46967304084222
98,1,2035-01-01T00:00:00.000000-0800,71.29152725033103
99,1,2035-01-01T00:00:00.000000-0800,75.0989756196252
100,1,2035-01-01T00:00:00.000000-0800,75.08562601762755
101,1,2035-01-01T00:00:00.000000-0800,75.40031701432083
102,1,2035-01-01T00:00:00.000000-0800,75.0345959953606
103,1,2035-01-01T00:00:00.000000-0800,75.0926499097099
104,1,2035-01-01T00:00:00.000000-0800,75.40031701432083
105,1,2035-01-01T00:00:00.000000-0800,75.01504762408467
106,1,2035-01-01T00:00:00.000000-0800,75.07258020175715
107,1,2035-01-01T00:00:00.000000-0800,75.11620480750143
108,1,2035-01-01T00:00:00.000000-0800,75.28342566915576
109,1,2035-01-01T00:00:00.000000-0800,75.63517932448278
110,1,2035-01-01T00:00:00.000000-0800,75.53840505351185
111,1,2035-01-01T00:00:00.000000-0800,75.66058285437967
112,1,2035-01-01T00:00:00.000000-0800,75.53840505351185
113,1,2035-01-01T00:00:00.000000-0800,75.24091666940764
114,1,2035-01-01T00:00:00.000000-0800,75.4448367688509
115,1,2035-01-01T00:00:00.000000-0800,75.53506219016809
116,1,2035-01-01T00:00:00.000000-0800,75.47689069874073
117,1,2035-01-01T00:00:00.000000-0800,75.56471742772125
118,1,2035-01-01T00:00:00.000000-0800,75.42250965008398
119,1,2035-01-01T00:00:00.000000-0800,75.53377889621255
120,1,2035-01-01T00:00:00.000000-0800,75.37234982137375
121,1,2035-01-01T00:00:00.000000-0800,75.56105069184093
122,1,2035-01-01T00:00:00.000000-0800,75.48788318613448
123,1,2035-01-01T00:00:00.000000-0800,75.41932912869157
124,1,2035-01-01T00:00:00.000000-0800,75.56976146025868
125,1,2035-01-01T00:00:00.000000-0800,75.27224145462141
126,1,2035-01-01T00:00:00.000000-0800,75.53840505351204
127,1,2035-01-01T00:00:00.000000-0800,75.27224145462145
128,1,2035-01-01T00:00:00.000000-0800,75.2722414546214
129,1,2035-01-01T00:00:00.000000-0800,75.48856524209263
130,1,2035-01-01T00:00:00.000000-0800,75.4763337654016
131,1,2035-01-01T00:00:00.000000-0800,75.53377889621257
132,1,2035-01-01T00:00:00.000000-0800,75.42431704083192
133,1,2035-01-01T00:00:00.000000-0800,75.37553686536471
134,1,2035-01-01T00:00:00.000000-0800,75.37452758107695
135,1,2035-01-01T00:00:00.000000-0800,75.24091666940761
136,1,2035-01-01T00:00:00.000000-0800,75.18621166346999
137,1,2035-01-01T00:00:00.000000-0800,75.48326608019734
138,1,2035-01-01T00:00:00.000000-0800,75.48166880650348
139,1,2035-01-01T00:00:00.000000-0800,75.37416549351637
140,1,2035-01-01T00:00:00.000000-0800,75.27224145462132
141,1,2035-01-01T00:00:00.000000-0800,75.24091666940753
142,1,2035-01-01T00:00:00.000000-0800,75.24091666940753
143,1,2035-01-01T00:00:00.000000-0800,75.2722414546214
144,1,2035-01-01T00:00:00.000000-0800,75.47003431958854
145,1,2035-01-01T00:00:00.000000-0800,75.47633376540162
146,1,2035-01-01T00:00:00.000000-0800,75.2722414546214
147,1,2035-01-01T00:00:00.000000-0800,75.24091666940761
148,1,2035-01-01T00:00:00.000000-0800,75.47689069874073
149,1,2035-01-01T00:00:00.000000-0800,75.55801450411663
150,1,2035-01-01T00:00:00.000000-0800,75.55478479936237
151,1,2035-01-01T00:00:00.000000-0800,73.07631837213023
152,1,2035-01-01T00:00:00.000000-0800,72.6034017076475
153,1,2035-01-01T00:00:00.000000-0800,72.7409368932659
154,1,2035-01-01T00:00:00.000000-0800,72.97240440587616
155,1,2035-01-01T00:00:00.000000-0800,72.74063243521779
156,1,2035-01-01T00:00:00.000000-0800,73.12016875231865
157,1,2035-01-01T00:00:00.000000-0800,73.07305445506894
158,1,2035-01-01T00:00:00.000000-0800,73.03753580615921
159,1,2035-01-01T00:00:00.000000-0800,71.30130153991173
160,1,2035-01-01T00:00:00.000000-0800,71.30130153991178
161,1,2035-01-01T00:00:00.000000-0800,71.30130153991179
162,1,2035-01-01T00:00:00.000000-0800,71.30130153991178
163,1,2035-01-01T00:00:00.000000-0800,71.30130153991173
164,1,2035-01-01T00:00:00.000000-0800,71.33610649835107
165,1,2035-01-01T00:00:00.000000-0800,71.30130153991185
166,1,2035-01-01T00:00:00.000000-0800,8.348097052763352
167,1,2035-01-01T00:00:00.000000-0800,8.348097052763356
168,1,2035-01-01T00:00:00.000000-0800,8.34809705276335
169,1,2035-01-01T00:00:00.000000-0800,71.30130153991175
170,1,2035-01-01T00:00:00.000000-0800,71.30130153991175
171,1,2035-01-01T00:00:00.000000-0800,71.30130153991178
172,1,2035-01-01T00:00:00.000000-0800,71.30130153991185
173,1,2035-01-01T00:00:00.000000-0800,71.30130153991168
174,1,2035-01-01T00:00:00.000000-0800,75.56340861815141
175,1,2035-01-01T00:00:00.000000-0800,71.3013015399116
176,1,2035-01-01T00:00:00.000000-0800,71.31904968118502
177,1,2035-01-01T00:00:00.000000-0800,71.30130153991162
178,1,2035-01-01T00:00:00.000000-0800,71.3010222332887
179,1,2035-01-01T00:00:00.000000-0800,75.50021118405945
180,1,2035-01-01T00:00:00.000000-0800,71.30130153991179
181,1,2035-01-01T00:00:00.000000-0800,76.74067943177782
182,1,2035-01-01T00:00:00.000000-0800,76.74119018279949
183,1,2035-01-01T00:00:00.000000-0800,76.74332446056687
184,1,2035-01-01T00:00:00.000000-0800,76.74621008166291
185,1,2035-01-01T00:00:00.000000-0800,76.73726683932891
186,1,2035-01-01T00:00:00.000000-0800,76.74222901948309
187,1,2035-01-01T00:00:00.000000-0800,76.74424694486073
188,1,2035-01-01T00:00:00.000000-0800,76.73794199028139
189,1,2035-01-01T00:00:00.000000-0800,76.74339932966326
190,1,2035-01-01T00:00:00.000000-0800,76.74066937783937
191,1,2035-01-01T00:00:00.000000-0800,76.74066937783937
192,1,2035-01-01T00:00:00.000000-0800,76.74225666029598
193,1,2035-01-01T00:00:00.000000-0800,76.74332446056687
194,1,2035-01-01T00:00:00.000000-0800,76.74132656123807
195,1,2035-01-01T00:00:00.000000-0800,76.74357876715827
196,1,2035-01-01T00:00:00.000000-0800,76.7433244605669
197,1,2035-01-01T00:00:00.000000-0800,76.74419255775264
198,1,2035-01-01T00:00:00.000000-0800,76.73800887032839
199,1,2035-01-01T00:00:00.000000-0800,76.7405397415315
200,1,2035-01-01T00:00:00.000000-0800,76.74398903707326
201,1,2035-01-01T00:00:00.000000-0800,76.74226887956573
202,1,2035-01-01T00:00:00.000000-0800,76.73930345421732
203,1,2035-01-01T00:00:00.000000-0800,76.7441446841988
204,1,2035-01-01T00:00:00.000000-0800,76.74281652245627
205,1,2035-01-01T00:00:00.000000-0800,76.7435715061577
206,1,2035-01-01T00:00:00.000000-0800,76.74143640820125
207,1,2035-01-01T00:00:00.000000-0800,76.74030734670464
208,1,2035-01-01T00:00:00.000000-0800,76.88328792559626
209,1,2035-01-01T00:00:00.000000-0800,76.7736208141481
210,1,2035-01-01T00:00:00.000000-0800,76.81920664390704
211,1,2035-01-01T00:00:00.000000-0800,76.88334367302255
212,1,2035-01-01T00:00:00.000000-0800,76.8832879255963
213,1,2035-01-01T00:00:00.000000-0800,76.88328792559625
214,1,2035-01-01T00:00:00.000000-0800,75.63467873594129
215,1,2035-01-01T00:00:00.000000-0800,75.63467873594132
216,1,2035-01-01T00:00:00.000000-0800,92.037529982294
217,1,2035-01-01T00:00:00.000000-0800,73.3674206974549
218,1,2035-01-01T00:00:00.000000-0800,72.76108768438297
219,1,2035-01-01T00:00:00.000000-0800,73.15968421560453
220,1,2035-01-01T00:00:00.000000-0800,77.88745708311706
221,1,2035-01-01T00:00:00.000000-0800,75.63467873594135
222,1,2035-01-01T00:00:00.000000-0800,71.57901014805249
223,1,2035-01-01T00:00:00.000000-0800,97.31240615667869
224,1,2035-01-01T00:00:00.000000-0800,75.6346787359413
225,1,2035-01-01T00:00:00.000000-0800,75.63467873594128
226,1,2035-01-01T00:00:00.000000-0800,145.76118139479735
227,1,2035-01-01T00:00:00.000000-0800,71.07808737529136
228,1,2035-01-01T00:00:00.000000-0800,293.71619646877446
229,1,2035-01-01T00:00:00.000000-0800,75.63467873594072
230,1,2035-01-01T00:00:00.000000-0800,72.14266871655481
231,1,2035-01-01T00:00:00.000000-0800,75.63467873594047
232,1,2035-01-01T00:00:00.000000-0800,75.63467873594047
233,1,2035-01-01T00:00:00.000000-0800,72.16501356538754
234,1,2035-01-01T00:00:00.000000-0800,73.82682597559649
235,1,2035-01-01T00:00:00.000000-0800,71.95041281210926
236,1,2035-01-01T00:00:00.000000-0800,72.40985500000002
237,1,2035-01-01T00:00:00.000000-0800,75.63467873594128
238,1,2035-01-01T00:00:00.000000-0800,81.72731021503478
239,1,2035-01-01T00:00:00.000000-0800,72.07244571469862
240,1,2035-01-01T00:00:00.000000-0800,293.71619646877446
241,1,2035-01-01T00:00:00.000000-0800,72.27853764009433
242,1,2035-01-01T00:00:00.000000-0800,72.67176812657969
243,1,2035-01-01T00:00:00.000000-0800,73.74166180486866
244,1,2035-01-01T00:00:00.000000-0800,71.00169347652894
245,1,2035-01-01T00:00:00.000000-0800,74.22017237960635
246,1,2035-01-01T00:00:00.000000-0800,72.06129473434724
247,1,2035-01-01T00:00:00.000000-0800,96.2393849426806
248,1,2035-01-01T00:00:00.000000-0800,72.07244571469862
249,1,2035-01-01T00:00:00.000000-0800,71.63797739553785
250,1,2035-01-01T00:00:00.000000-0800,73.3674206974549
251,1,2035-01-01T00:00:00.000000-0800,72.1341819241909
252,1,2035-01-01T00:00:00.000000-0800,73.63415065780806
253,1,2035-01-01T00:00:00.000000-0800,75.63467873594053
254,1,2035-01-01T00:00:00.000000-0800,72.77555969925369
255,1,2035-01-01T00:00:00.000000-0800,75.63467873594053
256,1,2035-01-01T00:00:00.000000-0800,72.15487376092698
257,1,2035-01-01T00:00:00.000000-0800,73.31798614224786
258,1,2035-01-01T00:00:00.000000-0800,300.03426256119354
259,1,2035-01-01T00:00:00.000000-0800,301.2165067032585
260,1,2035-01-01T00:00:00.000000-0800,75.63467873594027
261,1,2035-01-01T00:00:00.000000-0800,73.23153484818074
262,1,2035-01-01T00:00:00.000000-0800,109.84243200404879
263,1,2035-01-01T00:00:00.000000-0800,71.13996120022009
264,1,2035-01-01T00:00:00.000000-0800,124.26853268740194
265,1,2035-01-01T00:00:00.000000-0800,72.65599401815311
266,1,2035-01-01T00:00:00.000000-0800,74.22017237960638
267,1,2035-01-01T00:00:00.000000-0800,73.09884389707919
268,1,2035-01-01T00:00:00.000000-0800,74.34519570911051
