generator,scenario,timepoint,Dispatch_MW
cats_528,1,2035-01-01T00:00:00.000000-0800,0.0
cats_529,1,2035-01-01T00:00:00.000000-0800,0.0
cats_530,1,2035-01-01T00:00:00.000000-0800,0.079
cats_531,1,2035-01-01T00:00:00.000000-0800,0.0
cats_532,1,2035-01-01T00:00:00.000000-0800,0.0
cats_533,1,2035-01-01T00:00:00.000000-0800,0.0
cats_534,1,2035-01-01T00:00:00.000000-0800,0.22
cats_535,1,2035-01-01T00:00:00.000000-0800,0.0
cats_536,1,2035-01-01T00:00:00.000000-0800,0.3
cats_537,1,2035-01-01T00:00:00.000000-0800,0.006000000000000005
cats_538,1,2035-01-01T00:00:00.000000-0800,0.0
cats_539,1,2035-01-01T00:00:00.000000-0800,0.0
cats_540,1,2035-01-01T00:00:00.000000-0800,0.0
cats_541,1,2035-01-01T00:00:00.000000-0800,0.0
cats_542,1,2035-01-01T00:00:00.000000-0800,0.0
cats_543,1,2035-01-01T00:00:00.000000-0800,0.0
cats_544,1,2035-01-01T00:00:00.000000-0800,0.0
cats_545,1,2035-01-01T00:00:00.000000-0800,0.0
cats_546,1,2035-01-01T00:00:00.000000-0800,0.0
cats_547,1,2035-01-01T00:00:00.000000-0800,0.0
cats_548,1,2035-01-01T00:00:00.000000-0800,0.0
cats_549,1,2035-01-01T00:00:00.000000-0800,0.0
cats_550,1,2035-01-01T00:00:00.000000-0800,0.0
cats_551,1,2035-01-01T00:00:00.000000-0800,0.0
cats_552,1,2035-01-01T00:00:00.000000-0800,1.5
cats_553,1,2035-01-01T00:00:00.000000-0800,0.0
cats_554,1,2035-01-01T00:00:00.000000-0800,0.0
cats_555,1,2035-01-01T00:00:00.000000-0800,0.0
cats_556,1,2035-01-01T00:00:00.000000-0800,0.0
cats_557,1,2035-01-01T00:00:00.000000-0800,0.0
cats_558,1,2035-01-01T00:00:00.000000-0800,0.0
cats_559,1,2035-01-01T00:00:00.000000-0800,0.0
cats_560,1,2035-01-01T00:00:00.000000-0800,0.0
cats_561,1,2035-01-01T00:00:00.000000-0800,0.0
cats_562,1,2035-01-01T00:00:00.000000-0800,0.0
cats_563,1,2035-01-01T00:00:00.000000-0800,0.0
cats_564,1,2035-01-01T00:00:00.000000-0800,0.0
cats_565,1,2035-01-01T00:00:00.000000-0800,0.0
cats_566,1,2035-01-01T00:00:00.000000-0800,0.0
cats_567,1,2035-01-01T00:00:00.000000-0800,0.0
cats_568,1,2035-01-01T00:00:00.000000-0800,0.0
cats_569,1,2035-01-01T00:00:00.000000-0800,0.0
cats_570,1,2035-01-01T00:00:00.000000-0800,0.0
cats_571,1,2035-01-01T00:00:00.000000-0800,0.0
cats_572,1,2035-01-01T00:00:00.000000-0800,0.0
cats_573,1,2035-01-01T00:00:00.000000-0800,0.0
cats_574,1,2035-01-01T00:00:00.000000-0800,0.0
cats_575,1,2035-01-01T00:00:00.000000-0800,0.0
cats_576,1,2035-01-01T00:00:00.000000-0800,0.0
cats_577,1,2035-01-01T00:00:00.000000-0800,0.3524999999999999
cats_578,1,2035-01-01T00:00:00.000000-0800,0.3055
cats_579,1,2035-01-01T00:00:00.000000-0800,5.640000000000001
cats_580,1,2035-01-01T00:00:00.000000-0800,4.172000000000001
cats_581,1,2035-01-01T00:00:00.000000-0800,2.0300000000000002
cats_582,1,2035-01-01T00:00:00.000000-0800,0.21000000000000002
cats_583,1,2035-01-01T00:00:00.000000-0800,3.276
cats_584,1,2035-01-01T00:00:00.000000-0800,0.0
cats_585,1,2035-01-01T00:00:00.000000-0800,12.739199999999999
cats_586,1,2035-01-01T00:00:00.000000-0800,0.0
cats_587,1,2035-01-01T00:00:00.000000-0800,0.0
cats_588,1,2035-01-01T00:00:00.000000-0800,0.0
cats_589,1,2035-01-01T00:00:00.000000-0800,3.4499999999999997
cats_590,1,2035-01-01T00:00:00.000000-0800,0.0
cats_591,1,2035-01-01T00:00:00.000000-0800,0.0
cats_592,1,2035-01-01T00:00:00.000000-0800,0.0
cats_593,1,2035-01-01T00:00:00.000000-0800,0.0
cats_594,1,2035-01-01T00:00:00.000000-0800,0.0
cats_595,1,2035-01-01T00:00:00.000000-0800,9.261000000000001
