Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,-753.8652700643909,-13.280364960717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,13.280364960717803,-753.8652700643909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",5653.989497212984,-99.60273670736983,-1059.0843222626268,51.177134406724065,-2204.0798534610726,-881.4661471490376,-3255.931323700025,-455.0277995204516,-1269.3562180294243,-2503.7537441263303,-1348.7242148435175,-3880.8624566001845,-884.2751960183684,954.3313882820762
"('pa_rc_0', 'v_bus_Q')",99.60273670736983,5653.989497212984,-283.3652317065889,226.89890713233183,812.7705975575468,-2286.054742095405,567.6518347053798,-3325.6910813253417,67.0408265723782,-228.85467085713677,-162.31858592756524,2956.286584539526,-3618.342783062324,-5047.793607960085
"('', 'x0')",0.0,0.0,-301.7053010259442,-859.207777631547,-178.9511165650392,299.7649211546168,460.7671910111919,38.93583188529421,-1754.8522401630903,-2895.573866189809,-1794.1861513021895,-4905.132325771614,-3373.2667276515335,4817.695800461698
"('', 'x1')",0.0,0.0,-65.75560002465335,501.6502660337296,-459.60542567824035,-55.791250178001,224.84463275463875,125.6951445105511,-755.9616495214552,-1871.6980164185711,-676.5688579260672,-1254.495219154575,-3296.596260727785,-253.46485734739377
"('', 'x2')",0.0,0.0,1289.7960900961782,891.7530080654989,260.88233231076777,141.09089471663998,-717.5035218482619,253.81722502070474,2687.2952307793153,4573.974709570931,2677.136125173214,6870.873418961225,5668.81810785949,-6595.243450016294
"('', 'x3')",0.0,0.0,169.3448190699684,-31.713360223549785,95.58992113084015,50.586884968574516,-610.4046606424638,-175.29189539934004,606.0132645179725,1964.3810423601722,485.819742721013,504.9539687852346,3856.256852855234,1628.9491973603647
"('', 'x4')",0.0,0.0,352.5656753137622,-281.8975078571093,-78.74110018183994,-61.36842062397742,207.00969582780647,144.27444027621976,-1488.8288107633625,-1500.7690561646762,-1236.6475799526427,2393.369010496637,-6040.59805865662,3369.7684695395783
"('', 'x5')",0.0,0.0,-1265.2686061269562,-1196.6551938602404,-373.53513150331753,-155.4141909282384,1027.70673582972,88.4144322555172,-3064.9961155747305,-6761.367627806055,-3227.279043342629,-10377.742579275577,-64.5749935474887,8167.970501584845
"('', 'x6')",0.0,0.0,-602.994710637049,142.98696716387337,-139.15058673894657,-107.67711799827347,430.75404847322,395.4036645845228,-916.5527770548196,-3028.20267083173,-2811.8514668181188,382.52711074757826,-6905.778390356287,-8591.514036437817
"('', 'x7')",0.0,0.0,-173.04936814222074,-1216.4079847212972,-184.27091761421204,-88.25864146246721,533.562496912485,38.008800651688844,-2654.156217712226,-3475.291537655824,-2505.84056374405,-7492.066841763122,-4617.069504314099,8099.296364592627
"('', 'x8')",0.0,0.0,-613.5052711892417,284.58817904025125,-155.93187324619916,-75.83745917320564,408.2229344529476,162.67688041736304,-555.2343958224732,-4576.428664250413,-1448.6840658089423,-2299.036700824676,-5327.156410534986,1632.5987055810974
"('', 'x9')",0.0,0.0,449.034975949819,952.2147752023786,6.15741279760619,5.124320040904146,21.147197611000372,90.41711662210642,-371.4630178698079,-8.974471029590925,1820.7608706866704,-71.79764545940884,-2355.513850389748,-3350.8088508545734
