Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('', 'y0')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.14082618138588227,0.05186050405953562,0.03932397680354519,-0.001353685455029645,-0.13536854550296448
"('', 'y5')",0.0,0.0,-0.012606801398353957,-0.0919041860769639,-0.25901639378374675,-0.00009800595525467627,-0.009800595525467696
"('', 'y6')",0.0,0.0,-0.07854891905698184,-0.08210212498001689,-0.13334064020103034,0.0005787151299661647,0.05787151299661636
"('', 'y7')",0.0,0.0,0.01075011018892188,0.12931720572111496,0.22857026642185585,4.802107817243071e-6,0.0004802107817243116
"('', 'y8')",0.0,0.0,-0.04217497517571379,-0.006309692423085581,-0.006315556388040342,0.0004183453665221577,0.04183453665221577
"('', 'y9')",0.0,0.0,0.007469397448999253,0.13049036136064512,0.22387631864623786,0.00015630289974472706,0.015630289974472727
"('', 'y10')",0.0,0.0,0.1386926497099829,0.05115160709841813,0.0386647007549671,-0.0013334235025965668,-0.1333423502596567
"('', 'y11')",0.0,0.0,-0.01178177851553438,-0.09294636180336122,-0.25951175475866767,-0.00011049748259190792,-0.011049748259190766
