Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')","('', 'u4')","('', 'u5')","('', 'u6')"
"('infinite_sources_0', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,-578.2214422687911,-37.06282069362272,50.94655518045972,8.678398804736851,867.8398804736855
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,75.61331611118975,334.39523879148595,1082.0618247449413,-2.860985203406137,-286.09852034061475
"('', 'x0')",0.0,0.0,-376.9911184307712,-376.9911184307766,4.497379038693716e-11,5.277565333311585e-13,5.277565333311581e-11
"('', 'x1')",0.0,0.0,376.9911184308222,-376.99111843075167,2.5340851518061764e-13,-1.7880222188825807e-12,-1.788022218882581e-10
"('', 'x2')",0.0,0.0,-936.5361361461221,-350.44522469250404,-102.6914113436469,48.524019061905335,4852.401906190535
"('', 'x3')",0.0,0.0,300.55709544068065,-212.34910510020768,-1229.067152333001,-20.89642167199746,-2089.6421671997446
"('', 'x4')",0.0,0.0,325.9071492460962,-103.18931510512672,237.668814679933,17.97541064574081,1797.5410645740806
"('', 'x5')",0.0,0.0,818.8220978620884,348.0477700040231,131.92951464797093,-56.05475771328658,-5605.47577132866
"('', 'x6')",0.0,0.0,276.25732464107193,-348.6215831972555,-1469.4011234467341,-10.646628759656013,-1064.6628759656007
"('', 'x7')",0.0,0.0,-148.98583847578482,759.7504676505714,544.2709138733783,-11.442818816125417,-1144.281881612542
"('', 'x8')",0.0,0.0,556.1647357360721,-171.82924169859191,-284.91962721314695,-27.51613561924984,-2751.6135619249844
"('', 'x9')",0.0,0.0,481.13794823384757,852.0784776665053,637.5377009232653,-6.279216646379361,-627.9216646379364
