Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('', 'y0')",0.9998448679671205,-0.01761363107968869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.01761363107968869,0.9998448679671205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,-0.01287044850082916,-0.04266008346492456,0.02558301045334391,-0.25331327438975615,0.24988042087397275,-0.49999999999999667,-9.086763738854002e-15,0.19101227720414085,-0.023244598456692946,-0.00035891667351480136,0.00038477890800305876,0.07943902211588352
"('', 'y5')",0.0,0.0,0.07634644889057339,0.15782335893030022,0.23376116205807818,-0.024260530398945927,-0.008586827156883864,9.345535813557786e-15,-0.499999999999997,0.021557832405579753,0.189916182064455,-0.000023883395073506138,0.0002046954707092493,-0.3006185909931909
"('', 'y6')",0.0,0.0,-0.054402075368660804,-0.12196878785338842,-0.04450659651415007,0.49754236696981025,-0.4909077848381423,-6.7561402235473814e-15,9.824819335592081e-15,-0.3816762690419262,0.04631105567822005,0.0007693574560223921,-0.0008521910234469094,0.23411384502405583
"('', 'y7')",0.0,0.0,0.17750272261326863,0.32898967815235,-0.4604118659141111,0.05367986522534755,0.012981896326310145,-9.314785640014217e-15,-7.922022232079268e-15,-0.04320814038795756,-0.3795667241059866,-3.35385836894956e-6,-0.0003785405399467939,-0.7058837763153463
"('', 'y8')",0.0,0.0,0.4367731400265733,0.37574583874598105,0.11677924915859345,-0.013554743495592807,0.01218764903065231,-1.0690890452801283e-16,-1.5111222622086516e-15,0.006190963236687124,-0.0015781068359418872,-0.0004843189139399827,0.0006096280508129881,-0.7715960896673976
"('', 'y9')",0.0,0.0,-0.13831837539687622,0.010719425357953193,-0.013717410949606407,0.1265202108702446,-0.12550656147597852,3.420956133858446e-16,8.24407811911807e-16,0.0004187253050559914,0.007838758439388298,0.0001482258237304638,0.00007728718053931416,0.5466455978306859
"('', 'y10')",0.0,0.0,-0.012870448500829081,-0.04266008346492439,0.025583010453343883,-0.25331327438975804,0.2498804208739738,0.5000000000000036,7.773219902940199e-17,0.19101227720414393,-0.023244598456683228,-0.00035891667351479946,0.0003847789080030286,0.07943902211588308
"('', 'y11')",0.0,0.0,0.07634644889057353,0.15782335893030044,0.2337611620580778,-0.02426053039894717,-0.008586827156882783,-3.555938407873555e-16,0.5000000000000026,0.021557832405569695,0.1899161820644573,-0.000023883395073889746,0.0002046954707092673,-0.3006185909931913
