Index,"('', 'u0')","('', 'u1')","('', 'u2')","('', 'u3')"
"('', 'y0')",0.0,0.0,0.0,0.0
"('', 'y1')",0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,-7.224624049477434e-18,-1.8330331104887085e-17
"('', 'y3')",0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.18719169956091047,0.4749431679128947
"('', 'y5')",0.0,0.0,-0.4749431679128993,0.18719169956090312
"('', 'y6')",0.0,0.0,-0.6638353597512083,-1.684284449964096
"('', 'y7')",0.0,0.0,1.684284449964093,-0.663835359751185
"('', 'y8')",0.0,0.0,-0.18995284694711217,-0.4819487567811707
"('', 'y9')",0.0,0.0,0.48194875678117244,-0.18995284694710668
