Index,"('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')"
"('', 'y0')",0.9999122798006764,-0.013245101125090697,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.013245101125090697,0.9999122798006764,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.0,0.0,-0.1169583934247348,-0.21401428875111891,-0.5952677151550229,-0.3816491100592306
"('', 'y5')",0.0,0.0,0.0,0.0,0.21385105748457622,-0.11703232674892514,0.3816496624808264,-0.5952678713271767
"('', 'y6')",0.0,0.0,0.0,0.0,-0.8804343188035706,0.32556885858559725,-7.34614361790004e-7,3.0531237338361323e-7
"('', 'y7')",0.0,0.0,0.0,0.0,-0.3255944368967719,-0.8803454711520912,3.0593603925399016e-7,7.350163381802951e-7
"('', 'y8')",0.0,0.0,0.0,0.0,0.11695870107135133,0.21401307212971654,-0.5952678717633143,-0.38164966255828947
"('', 'y9')",0.0,0.0,0.0,0.0,-0.2138522728396923,0.11703201871693211,0.3816491101366947,-0.5952677155911609
