Index,"('infinite_sources_1', 'i_bus_D')","('infinite_sources_1', 'i_bus_Q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'y0')","('', 'y1')","('', 'y2')","('', 'y3')","('', 'y4')","('', 'y5')"
"('infinite_sources_1', 'v_ref_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'v_ref_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'v_bus_D')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'v_bus_Q')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'i_bus_D')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('pa_rc_1', 'i_bus_Q')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('', 'u0')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'u1')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'u2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'u3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
