Index,"('infinite_sources_1', 'i_bus_D')","('infinite_sources_1', 'i_bus_Q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('', 'y0')","('', 'y1')","('', 'y2')","('', 'y3')","('', 'y4')","('', 'y5')"
"('', 'y0')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y1')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y2')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y3')",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('', 'y4')",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('', 'y5')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('', 'y6')",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"('', 'y7')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('', 'y8')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('', 'y9')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
