Index,"('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('se_rl_0', 'i_br_D')","('se_rl_0', 'i_br_Q')"
"('infinite_sources_1', 'i_bus_d')",-94.24777960769379,376.99111843077515,-1884.790243473616,-24.966427434383302,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'i_bus_q')",-376.99111843077515,-94.24777960769379,24.966427434383302,-1884.790243473616,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",5654.3707021489945,-74.8992819286535,-282.7433374093647,376.99111843077515,0.0,0.0,0.0,0.0,5654.8667481872935,0.0
"('pa_rc_1', 'v_bus_Q')",74.8992819286535,5654.3707021489945,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,0.0,0.0,5654.8667481872935
"('infinite_sources_0', 'i_bus_d')",0.0,0.0,0.0,0.0,-7.5398223686155035,376.99111843077515,-753.7150506191037,-20.070774100387684,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,0.0,0.0,0.0,-376.99111843077515,-7.5398223686155035,20.070774100387684,-753.7150506191037,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,5652.8628513789645,-150.53080500025362,-282.7433374093647,376.99111843077515,-5654.8667481872935,0.0
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,150.53080500025362,5652.8628513789645,-376.99111843077515,-282.7433374093647,0.0,-5654.8667481872935
"('se_rl_0', 'i_br_D')",0.0,0.0,-753.9822368615503,0.0,0.0,0.0,753.9822368615503,0.0,-7.5398223686155035,376.99111843077515
"('se_rl_0', 'i_br_Q')",0.0,0.0,0.0,-753.9822368615503,0.0,0.0,0.0,753.9822368615503,-376.99111843077515,-7.5398223686155035
