name,component,type,init
i_bus_d,infinite_sources_0,"",0.21547208231583534
i_bus_q,infinite_sources_0,"",0.09850474697346907
angle_pc,gfmi_e_0,"",0.0
w_pc,gfmi_e_0,"",1.0
p_pc,gfmi_e_0,"",-0.09970849663622566
q_pc,gfmi_e_0,"",0.0019433557584956256
pi_vc,gfmi_e_0,"",1.0008337013864903
i_vsc_d,gfmi_e_0,"",-0.09932789605777746
i_vsc_q,gfmi_e_0,"",0.09837477238891429
i_bus_d,gfmi_e_0,"",-0.0985341583153472
i_bus_q,gfmi_e_0,"",-0.0027925682738698583
v_lcl_sh_d,gfmi_e_0,"",1.0116644575859595
v_lcl_sh_q,gfmi_e_0,"",0.008949041881888602
i_l_f,gfmi_e_0,"",0.001178588275124015
v_dc_f,gfmi_e_0,"",1.0
i_dc_f,gfmi_e_0,"",-0.099410705862438
i_load_f,gfmi_e_0,"",0.1
x_1,gfmi_e_0,"",0.0005892941375620075
x_2,gfmi_e_0,"",0.5
i_L,gfmi_e_0,"",0.001178588275124015
v_dc,gfmi_e_0,"",1.0
i_load,gfmi_e_0,"",0.1
v_bus_D,pa_rc_0,"",0.9850307325446462
v_bus_Q,pa_rc_0,"",0.0
v_bus_D,pa_rc_1,"",1.0114986905096575
v_bus_Q,pa_rc_1,"",-0.07757604616073832
i_br_D,se_rl_0,"",0.15403176129835686
i_br_Q,se_rl_0,"",0.05601655115598958
