Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,0.0,0.0,-660.3613270089033,363.88477749665077,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,0.0,0.0,-363.88477749665077,-660.3613270089033,0.0,0.0,0.0,0.0
"('infinite_sources_1', 'i_bus_d')",0.0,0.0,-94.24777960769379,376.99111843077515,0.0,0.0,-1698.3013206446935,-817.8204012426318,0.0,0.0
"('infinite_sources_1', 'i_bus_q')",0.0,0.0,-376.99111843077515,-94.24777960769379,0.0,0.0,817.8204012426318,-1698.3013206446935,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",4952.709927803226,2729.1358175792016,0.0,0.0,-282.7433374093647,376.99111843077515,0.0,0.0,-5654.8667481872935,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",-2729.1358175792016,4952.709927803226,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,-5654.8667481872935
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,5094.90393645956,-2453.4611914605894,0.0,0.0,-282.7433374093647,376.99111843077515,5654.8667481872935,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,2453.4611914605894,5094.90393645956,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,5654.8667481872935
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,753.9822368615503,0.0,-753.9822368615503,0.0,-7.5398223686155035,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,753.9822368615503,0.0,-753.9822368615503,-376.99111843077515,-7.5398223686155035
