Index,"('sources_with_swing_0', 'p_m')","('sources_with_swing_0', 'v_ref_d')","('sources_with_swing_0', 'v_ref_q')","('sources_with_swing_1', 'p_m')","('sources_with_swing_1', 'v_ref_d')","('sources_with_swing_1', 'v_ref_q')"
"('sources_with_swing_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('sources_with_swing_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('sources_with_swing_1', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('sources_with_swing_1', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0
