name,component,type,init
v_ref_d,infinite_sources_0,device,0.9773559434845779
v_ref_q,infinite_sources_0,device,9.399143339282285e-19
p_ref,gfmi_c_0,device,0.03137043429150532
q_ref,gfmi_c_0,device,-0.04657290171203013
v_ref,gfmi_c_0,device,0.9923215571192407
p_ref,gfmi_c_1,device,0.03052659218887237
q_ref,gfmi_c_1,device,-0.023521627618075136
v_ref,gfmi_c_1,device,0.9956586986557919
p_ref,gfmi_c_2,device,0.031322126295841135
q_ref,gfmi_c_2,device,-0.02170787941949343
v_ref,gfmi_c_2,device,0.9975207100477969
