,"('inf_src_0', 'v_ref_d')","('inf_src_0', 'v_ref_q')","('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')"
"('inf_src_0', 'i_bus_D')",0.0,0.0,0.0,0.0
"('inf_src_0', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_D')",0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('se_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0
"('se_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0
