,"('inf_src1', 'v_ref_d')","('inf_src1', 'v_ref_q')","('inf_src2', 'v_ref_d')","('inf_src2', 'v_ref_q')"
"('inf_src1', 'i_bus_D')",0.0,0.0,0.0,0.0
"('inf_src1', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('inf_src2', 'i_bus_D')",0.0,0.0,0.0,0.0
"('inf_src2', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('line_ns1_frombus', 'v_bus_D')",0.0,0.0,0.0,0.0
"('line_ns1_frombus', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('line_ns1_tobus', 'v_bus_D')",0.0,0.0,0.0,0.0
"('line_ns1_tobus', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('from_line_ns1', 'i_br_D')",0.0,0.0,0.0,0.0
"('from_line_ns1', 'i_br_Q')",0.0,0.0,0.0,0.0
