,"('gfmi_c_1', 'p_ref')","('gfmi_c_1', 'q_ref')","('gfmi_c_1', 'v_ref')","('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')"
"('', 'angle_pc')",0.0,0.0,0.0,0.0,0.0
"('', 'w_pc')",1.0,0.0,0.0,0.0,0.0
"('', 'p_pc')",0.0,0.0,0.0,0.0,0.0
"('', 'q_pc')",0.0,0.0,0.0,0.0,0.0
"('', 'pi_vc')",0.0,0.0,10.0,0.0,0.0
"('', 'i_vsc_d')",0.0,0.0,3769.9111843077517,0.0,0.0
"('', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0
"('', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0
"('', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0
"('', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0
"('', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,0.0,753.9822368615503,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,0.0,753.9822368615503
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0
