,"('inf_src_1', 'i_bus_d')","('inf_src_1', 'i_bus_q')","('inf_src_2', 'i_bus_d')","('inf_src_2', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('pa_rc_2', 'v_bus_D')","('pa_rc_2', 'v_bus_Q')","('se_rl_1', 'i_br_D')","('se_rl_1', 'i_br_Q')"
"('inf_src_1', 'i_bus_D')",0.8761249043660314,0.4820841751702832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_Q')",-0.4820841751702832,0.8761249043660314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_2', 'i_bus_D')",0.0,0.0,0.9006690921716582,-0.4345056805229145,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_2', 'i_bus_Q')",0.0,0.0,0.4345056805229145,0.9006690921716582,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
