type,class,module,input_csv
gfli_a,GFLIa,sting.generator.gfli_a,gfli_a.csv
gfli_b,GFLIb,sting.generator.gfli_b,gfli_b.csv
gfmi_c,GFMIc,sting.generator.gfmi_c,gfmi_c.csv
inf_src,InfiniteSource,sting.generator.infinite_source,infinite_source.csv
line_pi,LinePiModel,sting.line.pi_model,lines.csv
se_rl,BranchSeriesRL,sting.branch.series_rl,series_rl.csv
pa_rc,ShuntParallelRC,sting.shunt.parallel_rc,parallel_rc.csv
bus,Bus,sting.bus.bus,buses.csv
ts,Timeseries,sting.timescales.core,timeseries.csv
tp,Timepoint,sting.timescales.core,timepoints.csv
sc,Scenario,sting.timescales.core,scenarios.csv
load,Load,sting.bus.bus,loads.csv
gen,Generator,sting.generator.generator,generators.csv
cf,CapacityFactor,sting.generator.generator,capacity_factors.csv
ess,Storage,sting.generator.storage,storage.csv
energy_budget,EnergyBudget,sting.policies.energy_budgets,energy_budget_constraints.csv
carbon_policy,CarbonPolicy,sting.policies.carbon_policies,carbon_policies.csv
inf,InfiniteSource2,sting.generator.inf_src,inf_src.csv
